ngrama,senal,justificacion,metodo,version,fecha,alcance
recomendable,contextual,Marca recomendación pero falta su objeto; se recomienda normalizar y también ajustar menos.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
recorte,expansiva,"En los contextos revisados nombra un recorte de TPM, incluso como opción o expectativa; señal léxica expansiva, no voto automático.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
senala,sin_direccion,"Verbo de atribución del acta, común a las tres clases.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
senor,sin_direccion,"Tratamiento protocolar de personas, no señal monetaria.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
sobrerreaccion,contextual,Cautela sobre la respuesta o las expectativas; puede cuestionar tanto un alza como una trayectoria de tasas distinta.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
tasa,contextual,"Instrumento o variable, sin dirección. Los ejemplos incluyen TPM y otras tasas.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
acordo aumentar,contextual,Indica aumento pero omite el objeto; se conserva como contextual y se acepta la frase completa con tasa.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
compensaciones inflacionarias,contextual,Variable que puede subir o bajar; los ejemplos también describen descensos dentro de intervenciones hawkish.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
consejero senor,sin_direccion,Cargo y tratamiento de quien habla; no usar identidad como dirección monetaria.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
consejo estima,contextual,Atribución institucional; precede tanto a normalización como a estímulo prolongado.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
crisis financiera,contextual,Escenario de riesgo externo; no basta para concluir postura expansiva del hablante.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
division estudios,sin_direccion,"Nombre de una unidad técnica, presente en exposiciones y recomendaciones de ambos signos.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
estados unidos,sin_direccion,"Referencia geográfica externa, no posición sobre la TPM chilena.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
financieras externas,contextual,Fragmento de condiciones externas que pueden ser favorables o deteriorarse.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
horizonte habitual,contextual,"Horizonte de proyección, común a políticas distintas.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
impulso monetario,contextual,Su retiro puede ser restrictivo y su ampliación expansiva; la alta asociación H no convierte el sustantivo en hawkish.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
marfan agradece,sin_direccion,"Nombre propio y cortesía: asociación con D es de composición de la muestra, no semántica.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
parece conveniente,contextual,"Evaluación favorable sin objeto: puede recomendar observar, ajustar o mantener.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
patrones historicos,contextual,"Referencia descriptiva de salarios, inflación o incertidumbre; sin postura propia obligatoria.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
politica monetaria,contextual,"Tema genérico; aparece en menús, anuncios y logística.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
presidente senor,sin_direccion,Cargo y tratamiento; no dirección de política.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
proxima semana,sin_direccion,"Referencia temporal de publicación o actividad, no de postura restrictiva.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
puntos base,contextual,"Unidad de medida compartida por alzas, bajas e impuestos; falta verbo/dirección.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
recientes muestran,sin_direccion,Fragmento introductorio de evidencia; necesita el contenido posterior.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
adopta el siguiente,sin_direccion,Inicio formal del acuerdo; tanto alzas como recortes aparecen en los contextos.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
anterior el consejo,sin_direccion,Fragmento de conector institucional de acuerdos de distinto signo.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
aumentar la tasa,restrictiva,"Describe una opción o acción de alza. Puede aparecer en menús o antecedentes sin respaldo del hablante: es señal adicional, no etiqueta automática.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
bajar la tasa,expansiva,Acción de reducción de tasa; aparece en acuerdos de baja y también al considerar prematura esa opción. Requiere contexto para postura final.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
brechas de capacidad,contextual,Brechas cerradas o ampliándose producen argumentos distintos; el sustantivo solo no tiene signo.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
condiciones financieras externas,contextual,"Diagnóstico del entorno externo, sin recomendación doméstica obligatoria.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
cree que no,contextual,Marco de opinión y negación; el objeto posterior determina el contenido.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
decision de hoy,contextual,"Referencia al momento de decisión, sin especificar opción.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
estabilidad de precios,contextual,Objetivo monetario compartido; no implica necesariamente subir la tasa.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
expectativas de crecimiento,contextual,Variable de diagnóstico que puede revisarse en ambos sentidos.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
gerente de analisis,sin_direccion,"Cargo técnico, no dirección. Su asociación neutral refleja el tipo de intervención.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
gerente de division,sin_direccion,Cargo sin postura inherente; aparece en distintas divisiones y clases.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
manuel marfan agradece,sin_direccion,Identidad y cortesía; no utilizar como señal dovish.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
subir la tpm,restrictiva,Alza explícita de TPM. Hay votos favorables y un ejemplo que la rechaza con negación posterior; por eso no es clasificador determinista.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
tasa de interes,contextual,"Variable/instrumento; puede mantenerse, aumentar, bajar o describirse sin postura.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
tasa de politica,contextual,"Fragmento del nombre del instrumento, sin verbo direccional.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
tipo de cambio,contextual,Variable macro que admite argumentos y diagnósticos de distinto signo.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
unidos de america,sin_direccion,"Fragmento del nombre de un país, no postura doméstica.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
vota por mantener,contextual,"La mantención depende del menú, ciclo y sesgo; no se transforma en dovish por su mayoría en esta muestra.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
acordo aumentar la tasa,restrictiva,"Acuerdo explícito de alza en los ejemplos. Puede narrarse una decisión pasada: señal restrictiva textual, no necesariamente nueva recomendación.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
actividad y la demanda,contextual,Variables descriptivas: los contextos incluyen dinamismo y desaceleración.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
adopta el siguiente acuerdo,sin_direccion,Fórmula que introduce decisiones de alza o de recorte; no codifica el signo.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
banco central de chile,sin_direccion,"Nombre institucional, no inclinación monetaria.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
base en esta ocasion,sin_direccion,Fragmento de magnitud/momento que aparece en alza y rebaja; no es direccional.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
base en la tasa,sin_direccion,"Fragmento de medida; la dirección depende del verbo anterior, fuera del n-grama.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
debajo de lo esperado,contextual,Sorpresa negativa en una variable no identificada; no basta para inferir postura.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
estados unidos de america,sin_direccion,"Nombre de país, frecuente en diagnóstico externo.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
gerente de analisis macroeconomico,sin_direccion,Cargo del expositor; no dirección hawkish/dovish.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
gerente de division estudios,sin_direccion,"Cargo/unidad técnica; las recomendaciones deben leerse en su contenido, no en el cargo.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
horizonte habitual de politica,contextual,"Horizonte de evaluación, compatible con diferentes decisiones.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
inflacion proyectada se ubique,contextual,"Objetivo de convergencia usado en comunicados H, D y N; falta acción direccional.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
manifiesta que su voto,contextual,Marca voto pero omite la opción; los ejemplos incluyen mantención con sesgos distintos.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
marfan agradece el analisis,sin_direccion,"Cortesía atribuida a una persona, sin dirección monetaria propia.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
merito de lo anterior,sin_direccion,Conector formal de justificación de decisiones de ambos signos.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
reunion de politica monetaria,sin_direccion,"Nombre de evento, también en logística y antecedentes.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
senor manuel marfan agradece,sin_direccion,"Tratamiento, identidad y cortesía; no señal dovish.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
tasa de politica monetaria,contextual,"Nombre del instrumento: requiere verbo, sesgo o argumento para clasificar postura.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
