intervencion_id,meeting_id,etiqueta_v3,incluir_evaluacion,estrato_recuperacion,pred_c_89,pred_wc_89,pred_c_600,pred_wc_600,pred_wc_m1,pred_wc_m2,pred_wc_m3,pred_wc_m4,pred_wc_m5
RPM-2010-05-13:3113:1,RPM-2010-05-13,hawkish,true,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-11-15:4404:1,RPM-2011-11-15,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-12-13:4490:1,RPM-2011-12-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-12-13:5267:3,RPM-2012-12-13,neutral,true,neutral_dificil,dovish,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-04-12:1202:1,RPM-2007-04-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-02-11:2962:1,RPM-2010-02-11,neutral,true,neutral_dificil,dovish,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-11-16:956:1,RPM-2006-11-16,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-07-14:6867:1,RPM-2015-07-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-11-16:985:1,RPM-2006-11-16,neutral,true,aleatorio_contextual,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2010-11-16:3567:3,RPM-2010-11-16,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2008-07-10:1924:1,RPM-2008-07-10,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-11-15:4453:3,RPM-2011-11-15,neutral,true,candidato_dovish,hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-05-13:3121:1,RPM-2010-05-13,hawkish,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-10-17:5836:1,RPM-2013-10-17,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6102:1,RPM-2014-03-13,dovish,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-06-12:6280:1,RPM-2014-06-12,neutral,true,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2006-10-12:893:1,RPM-2006-10-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5752:3,RPM-2013-08-13,neutral,true,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2008-07-10:1947:2,RPM-2008-07-10,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6103:1,RPM-2014-03-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-09-11:6425:1,RPM-2014-09-11,dovish,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2009-06-16:2594:1,RPM-2009-06-16,dovish,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2012-06-14:4887:1,RPM-2012-06-14,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-09-12:5807:1,RPM-2013-09-12,neutral,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2010-11-16:3567:2,RPM-2010-11-16,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2799:1,RPM-2009-11-12,neutral,true,candidato_hawkish,hawkish,dovish,hawkish,dovish,dovish,hawkish,dovish,dovish,dovish
RPM-2014-06-12:6269:2,RPM-2014-06-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6109:1,RPM-2014-03-13,dovish,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2015-05-14:6793:1,RPM-2015-05-14,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-12-13:5267:2,RPM-2012-12-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2005-08-11:356:1,RPM-2005-08-11,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2007-07-12:1348:1,RPM-2007-07-12,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2006-06-15:738:1,RPM-2006-06-15,neutral,true,neutral_dificil,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2006-11-16:952:1,RPM-2006-11-16,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6806:3,RPM-2015-05-14,neutral,true,neutral_dificil,dovish,dovish,dovish,neutral,dovish,neutral,neutral,dovish,neutral
RPM-2008-06-10:1883:1,RPM-2008-06-10,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2780:1,RPM-2009-11-12,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-10-17:5816:1,RPM-2013-10-17,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6800:3,RPM-2015-05-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4891:1,RPM-2012-06-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-03-19:6667:1,RPM-2015-03-19,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2008-06-10:1911:1,RPM-2008-06-10,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2014-09-11:6422:1,RPM-2014-09-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-03-17:3887:1,RPM-2011-03-17,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2008-12-11:2201:1,RPM-2008-12-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6095:1,RPM-2014-03-13,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2762:1,RPM-2009-11-12,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-10-12:896:1,RPM-2006-10-12,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-05-13:3111:2,RPM-2010-05-13,neutral,true,candidato_hawkish,hawkish,hawkish,hawkish,neutral,neutral,hawkish,neutral,neutral,neutral
RPM-2005-10-11:403:1,RPM-2005-10-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-07-12:1338:3,RPM-2007-07-12,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-05-13:3126:1,RPM-2010-05-13,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2010-02-11:2915:3,RPM-2010-02-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4870:1,RPM-2012-06-14,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2005-08-11:342:1,RPM-2005-08-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-09-12:5801:1,RPM-2013-09-12,neutral,true,candidato_dovish,dovish,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-02-11:2963:1,RPM-2010-02-11,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-03-17:3879:1,RPM-2011-03-17,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5734:1,RPM-2013-08-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4869:1,RPM-2012-06-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-10-12:938:1,RPM-2006-10-12,neutral,true,candidato_dovish,hawkish,hawkish,hawkish,neutral,neutral,hawkish,neutral,neutral,hawkish
RPM-2010-11-16:3580:1,RPM-2010-11-16,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2013-08-13:5726:1,RPM-2013-08-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2008-06-10:1851:1,RPM-2008-06-10,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2768:4,RPM-2009-11-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-02-11:2931:2,RPM-2010-02-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-06-12:6279:1,RPM-2014-06-12,neutral,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2010-11-16:3558:1,RPM-2010-11-16,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-06-15:736:1,RPM-2006-06-15,neutral,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2012-08-16:5024:1,RPM-2012-08-16,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6767:1,RPM-2015-05-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5711:1,RPM-2013-08-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-11-15:4452:1,RPM-2011-11-15,dovish,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-06-15:734:1,RPM-2006-06-15,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5743:1,RPM-2013-08-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6795:1,RPM-2015-05-14,neutral,true,neutral_dificil,hawkish,hawkish,neutral,hawkish,hawkish,hawkish,hawkish,dovish,hawkish
RPM-2015-03-19:6640:1,RPM-2015-03-19,neutral,true,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-02-11:2930:2,RPM-2010-02-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2005-11-10:504:1,RPM-2005-11-10,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2005-10-11:449:1,RPM-2005-10-11,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2009-06-16:2562:2,RPM-2009-06-16,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-05-13:3107:1,RPM-2010-05-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2008-06-10:1910:1,RPM-2008-06-10,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2007-08-09:1356:1,RPM-2007-08-09,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-11-16:3579:1,RPM-2010-11-16,hawkish,true,candidato_hawkish,dovish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2010-05-13:3114:1,RPM-2010-05-13,neutral,true,candidato_hawkish,neutral,hawkish,neutral,neutral,hawkish,neutral,hawkish,neutral,neutral
RPM-2010-05-13:3122:1,RPM-2010-05-13,neutral,true,candidato_hawkish,hawkish,hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4895:1,RPM-2012-06-14,neutral,true,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2013-10-17:5847:1,RPM-2013-10-17,dovish,true,candidato_hawkish,neutral,neutral,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2013-09-12:5756:1,RPM-2013-09-12,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-03-17:3886:1,RPM-2011-03-17,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2012-12-13:5240:1,RPM-2012-12-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2008-12-11:2188:1,RPM-2008-12-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-05-13:3126:2,RPM-2010-05-13,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2013-08-13:5741:1,RPM-2013-08-13,neutral,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2009-11-12:2797:1,RPM-2009-11-12,neutral,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2007-08-09:1386:4,RPM-2007-08-09,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2005-11-10:457:1,RPM-2005-11-10,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6791:2,RPM-2015-05-14,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6100:1,RPM-2014-03-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-12-13:4485:1,RPM-2011-12-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-10-17:5842:3,RPM-2013-10-17,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6059:1,RPM-2014-03-13,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-08-16:5035:1,RPM-2012-08-16,neutral,true,neutral_dificil,dovish,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-12-13:4481:1,RPM-2011-12-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4853:1,RPM-2012-06-14,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-07-12:1326:1,RPM-2007-07-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5729:1,RPM-2013-08-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-10-12:930:1,RPM-2006-10-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-08-16:4984:1,RPM-2012-08-16,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2005-08-11:358:1,RPM-2005-08-11,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2014-09-11:6415:1,RPM-2014-09-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-03-17:3869:3,RPM-2011-03-17,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-05-07:2510:2,RPM-2009-05-07,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-07-12:1312:1,RPM-2007-07-12,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-03-19:6687:1,RPM-2015-03-19,hawkish,true,neutral_dificil,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2765:2,RPM-2009-11-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-11-16:970:1,RPM-2006-11-16,hawkish,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-05-07:2543:1,RPM-2009-05-07,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-07-12:1335:5,RPM-2007-07-12,hawkish,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-05-13:3108:2,RPM-2010-05-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6808:2,RPM-2015-05-14,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-07-12:1350:1,RPM-2007-07-12,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2007-04-12:1177:1,RPM-2007-04-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-09-12:5799:1,RPM-2013-09-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6808:3,RPM-2015-05-14,neutral,true,candidato_hawkish,dovish,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-07-14:6915:2,RPM-2015-07-14,neutral,true,neutral_dificil,dovish,dovish,dovish,neutral,neutral,dovish,neutral,neutral,neutral
RPM-2005-10-11:426:1,RPM-2005-10-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-03-19:6642:1,RPM-2015-03-19,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2765:6,RPM-2009-11-12,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-07-14:6908:1,RPM-2015-07-14,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-09-12:5767:1,RPM-2013-09-12,neutral,true,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-12-13:4477:4,RPM-2011-12-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-06-16:2593:2,RPM-2009-06-16,dovish,true,candidato_dovish,hawkish,hawkish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2005-10-11:447:1,RPM-2005-10-11,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2014-06-12:6289:1,RPM-2014-06-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-12-13:4506:1,RPM-2011-12-13,dovish,true,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2007-04-12:1185:1,RPM-2007-04-12,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5745:1,RPM-2013-08-13,neutral,true,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2007-04-12:1178:2,RPM-2007-04-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-06-15:728:1,RPM-2006-06-15,neutral,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2014-09-11:6421:1,RPM-2014-09-11,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5709:1,RPM-2013-08-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4899:2,RPM-2012-06-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2010-02-11:2966:1,RPM-2010-02-11,neutral,true,neutral_dificil,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,dovish
RPM-2012-12-13:5256:1,RPM-2012-12-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-05-14:6790:1,RPM-2015-05-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2800:1,RPM-2009-11-12,dovish,true,candidato_hawkish,dovish,hawkish,dovish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2013-09-12:5812:1,RPM-2013-09-12,neutral,true,neutral_dificil,dovish,dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-08-09:1366:2,RPM-2007-08-09,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-03-13:6072:1,RPM-2014-03-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-11-12:2785:1,RPM-2009-11-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4899:1,RPM-2012-06-14,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-08-09:1381:1,RPM-2007-08-09,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
