intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2015-07-14:6917:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,aprobacion del comunicado y cierre de la sesion (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-09-15:7003:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,transito procedimental: apertura de la exposicion del escenario interno,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6800:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y ofrecimiento de la palabra (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-08-13:6937:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"llevando a anticipar un crecimiento del PIB de 2,1% para este año, menor que el 2,7% proyectado en dicho Informe",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-06-11:6824:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y concesion de la palabra (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7169:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la estimación del precio promedio del próximo año supone un 40% de aumento respecto del nivel actual, lo que no considera una proyección conservadora",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-10-15:7080:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,la estabilización del tipo de cambio será el elemento principal en la desinflación,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-10-15:7103:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y transito a la votacion (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-07-14:6884:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,habrían cesado las persistentes y evidentes correcciones a la baja registradas en meses anteriores,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-04-16:6706:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"se manifestó muy pesimista respecto del precio del cobre, atendida la caída sostenida del consumo en China",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6762:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y concesion de la palabra (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-11-12:7131:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,se suma a lo expresado por el Consejero señor Joaquín Vial en cuanto a la necesidad de ir afinando aquellas medidas que son demasiado volátiles,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-01-15:6585:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la Gerencia de División Estudios propone como única opción relevante mantener la TPM en 3,00%",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7212:1,ia_ronda,hawkish,0.95,0.00,0.05,0.95,"su voto es por aumentar la TPM en 25 puntos base, a 3,5%",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-01-15:6592:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y concesion de la palabra (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6760:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,solicita el envío de información sobre la evolución del tipo de cambio real en las economías latinoamericanas,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7175:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,dichos elementos tampoco le parecen suficientes para explicar la magnitud de la recesión de esa economía,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6769:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,se pondrán a disposición del público las series de actividad económica mensual desagregadas a nivel de veinticuatro sectores,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-09-15:6990:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,la venta de papeles de Estados Unidos de América por parte de China ha sido identificada por los analistas como uno de los factores,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-10-15:7063:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,"el nivel de las tasas de largo plazo no se relaciona con la evolución del precio del petróleo, sino que con la evolución de la economía china",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-09-15:7015:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"dan cuenta de una percepción negativa sobre el empleo futuro, lo que históricamente ha tenido una correlación estadística con la evolución del empleo asalariado",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
