intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2007-09-13:1469:1,ia_ronda,hawkish,0.95,0.0,0.05,0.95,"acordó aumentar la Tasa de Interés de Política Monetaria en 25 puntos base, a 5,75% anual",alta,1,acuerdo+comunicado: alza +25 unánime; atención a propagación de shocks,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-10-11:1508:3,ia_ronda,neutral,0.0,-0.0,1.0,0.0,,alta,0,trámite: solicita presentación de opciones,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-01-10:1629:1,ia_ronda,hawkish,0.85,0.0,0.15,0.85,un incremento de 25 puntos base probablemente sea el adecuado para enfrentar el escenario de mayor inflación contenido en el IPoM,alta,1,opciones del staff (ene-2008): +25 o +50; descarta mantención como incongruente,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1694:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,no es que la expectativa de baja de tasa en el corto plazo le haya significado un efecto fallido a la Reserva Federal en términos de credibilidad,alta,1,precisión: las tasas largas no han subido; la curva pivotea desde un nivel más bajo,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1703:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,se puede tener legítimas dudas respecto a la utilidad de la política monetaria,alta,1,crisis financiera: provisión de liquidez sin precedentes; incertidumbre gigantesca,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1709:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"efectivamente es así y que lo han atribuido a primas por riesgo que hoy día, debido a la incertidumbre que existe, son más sensibles a las noticias",alta,1,explicación técnica: sobrerreacción de mercado y baja de enero por primas por riesgo,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1711:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,se está proyectando también una inflación más alta para adelante porque se trata de un shock que no estaba metido en las expectativas,alta,1,defiende el tratamiento de shocks de oferta en las proyecciones del Banco,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1721:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,se considera que las opciones más plausibles para esta ocasión son un incremento de la Tasa de Política Monetaria en 25 puntos base o su mantención en el nivel actual,alta,1,opciones del staff (mar-2008): +25 o mantener sin inclinación; mercado inusualmente dividido,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1737:2,ia_ronda,hawkish,0.85,0.0,0.15,0.85,"mantiene su votación consistente en subir la Tasa de Política Monetaria a 6,50%",alta,1,"voto alza +25 a 6,50% (contra la mantención mayoritaria de mar-2008)",enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-03-13:1739:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,,alta,0,trámite: negociación de la redacción de la Minuta sobre referencia a intervención,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-05-08:1818:4,ia_ronda,neutral,0.0,-0.0,1.0,0.0,puede tener como explicación alguna relación con la subcontratación,alta,1,desacople empleo/actividad: composición sectorial y subcontratación,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-05-08:1837:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,la forma como se lee el gráfico de Expectativas de Política Monetaria va a cambiar con el tiempo,alta,1,metodología: lectura condicional de la curva de expectativas (prima por liquidez),enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-05-08:1848:1,ia_ronda,dovish,0.0,0.65,0.35,-0.65,"se inclina por una mantención de la Tasa de Política Monetaria en 6,25%",alta,1,mantiene con opción de alza viva; destaca como mayor riesgo la persistencia inflacionaria,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-06-10:1902:1,ia_ronda,hawkish,0.8,0.0,0.2,0.8,lo que lleva a descartar la opción de mantener la Tasa de Política Monetaria en esta ocasión,alta,1,opciones del staff (jun-2008): +25 o +50; shock alimentario-combustibles con consecuencias persistentes,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-07-10:1923:7,ia_ronda,neutral,0.0,-0.0,1.0,0.0,el mercado tiene incorporado de todas formas una probabilidad casi completa de un aumento final hacia fin de año en su Tasa de Política Monetaria,alta,1,contrapunto: expectativas de mercado por el alza; ajuste de tasas largas en USA,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-07-10:1945:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,consulta si este mayor aumento significa que habrá más inflación o si se trata de un aumento razonable,alta,1,pregunta técnica: salarios reales al alza vs trayectoria de inflación,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-08-14:2044:1,ia_ronda,hawkish,0.95,0.0,0.05,0.95,vota por un alza de 50 puntos base,alta,1,voto +50pb con sesgo al alza: expectativas sugieren necesidad de ajuste significativo,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-09-04:2100:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,,alta,0,trámite: aprueba texto del comunicado y levanta la sesión,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-11-13:2159:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,es difícil contemplar una opción distinta a mantener la Tasa de Política Monetaria en esta oportunidad,alta,1,opciones del staff (nov-2008): solo mantención (aumento requiere escenario distinto; recorte apresurado),enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-11-13:2169:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"su voto es por mantener la Tasa de Política Monetaria, manteniendo un sesgo neutral en el Comunicado",alta,1,descarta ambas direcciones: recorte imprudente (inflación y TCR desalineados) y alza descartada,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-12-11:2238:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"la inclusión de un sesgo en el comunicado parece ser necesaria y natural, cualquiera sea la decisión de esta Reunión",alta,1,opciones del staff (dic-2008): iniciar ciclo de relajamiento ahora o mantener con sesgo; ambas plausibles,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-12-11:2249:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"las expectativas de los analistas para el plazo de 2 años, por primera vez en varios meses, se han ubicado nuevamente en torno a la meta",media,1,diagnóstico de crisis: riesgos claramente negativos; abre espacio al relajamiento (sin voto en el fragmento),enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2008-12-11:2251:1,ia_ronda,dovish,0.0,0.6,0.4,-0.6,"su voto es por mantener la Tasa de Política Monetaria en esta ocasión, en su nivel actual",media,1,vota mantener pero declara que lo estándar apuntaría a bajas rápidas y bruscas (50pb+); espera alinear el TC,enriquecido_t10_r14,v2,2026-09-16,ia_agente
