orden,intervencion_id,meeting_id,texto_repetido_training,reunion_en_training,prob_hawkish,prob_dovish,prob_neutral,pred,es_relevante_pred,score_pred,etiqueta_humana,es_relevante_humano,fecha_reunion,coincide,senal_decision,fase
52,RPM-2010-04-15:3067:3,RPM-2010-04-15,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2010-04-15,True,True,2010_alza_emergencia
53,RPM-2010-06-15:3190:1,RPM-2010-06-15,False,True,0.0385256127598331,0.0812883247027012,0.8801860625374657,neutral,1,-0.042762711942868,neutral,1,2010-06-15,True,True,2010_alza_emergencia
54,RPM-2014-05-15:6228:1,RPM-2014-05-15,False,True,0.2918688814580725,0.5078393042479471,0.2002918142939805,dovish,1,-0.2159704227898746,hawkish,1,2014-05-15,False,True,2013_14_bajas
55,RPM-2006-12-14:1012:1,RPM-2006-12-14,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,1,2006-12-14,True,True,2006_alza_fin
56,RPM-2015-10-15:7063:1,RPM-2015-10-15,False,True,0.0920658323335078,0.1335760680417599,0.7743580996247322,neutral,1,-0.0415102357082521,neutral,0,2015-10-15,True,True,2015_quiebre
57,RPM-2006-10-12:899:2,RPM-2006-10-12,False,True,0.0066162149196966,0.011038519185313,0.9823452658949904,neutral,1,-0.0044223042656164,neutral,1,2006-10-12,True,False,2006_alza_fin
58,RPM-2015-10-15:7059:1,RPM-2015-10-15,False,True,0.1251551217925632,0.1796672503958353,0.6951776278116014,neutral,1,-0.0545121286032721,neutral,1,2015-10-15,True,True,2015_quiebre
59,RPM-2012-01-12:4563:1,RPM-2012-01-12,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,1,2012-01-12,True,True,2012_13_mantiene
60,RPM-2012-06-14:4874:1,RPM-2012-06-14,False,True,0.0339967158891094,0.0324182701201185,0.933585013990772,neutral,1,0.0015784457689908,neutral,0,2012-06-14,True,True,2012_13_mantiene
61,RPM-2006-08-10:790:1,RPM-2006-08-10,False,True,0.0099883570133302,0.0113530130419981,0.9786586299446716,neutral,1,-0.0013646560286679,neutral,1,2006-08-10,True,False,2006_alza_fin
62,RPM-2010-09-16:3420:1,RPM-2010-09-16,False,True,0.0096652750769301,0.0066925291000073,0.9836421958230626,neutral,1,0.0029727459769227,neutral,1,2010-09-16,True,True,2010_alza_emergencia
63,RPM-2009-01-08:2297:1,RPM-2009-01-08,False,True,0.5841898871103455,0.2981427410803671,0.1176673718092874,hawkish,1,0.2860471460299784,dovish,1,2009-01-08,False,True,2009_bajas
64,RPM-2007-12-13:1586:1,RPM-2007-12-13,False,True,0.0327129088385797,0.0770589200775895,0.8902281710838307,neutral,1,-0.0443460112390097,neutral,1,2007-12-13,True,False,2007_mixto
65,RPM-2015-04-16:6754:1,RPM-2015-04-16,False,True,0.1791652297850945,0.7557664041288,0.0650683660861055,dovish,1,-0.5766011743437054,hawkish,1,2015-04-16,False,True,2015_quiebre
66,RPM-2007-01-11:1052:1,RPM-2007-01-11,False,True,0.4625862006632226,0.438465730531934,0.0989480688048433,hawkish,1,0.0241204701312885,dovish,1,2007-01-11,False,True,2007_mixto
67,RPM-2012-01-12:4568:1,RPM-2012-01-12,False,True,0.369609508731441,0.5224858238509678,0.1079046674175911,dovish,1,-0.1528763151195267,dovish,1,2012-01-12,True,True,2012_13_mantiene
68,RPM-2012-09-13:5051:1,RPM-2012-09-13,False,True,0.0162326238540378,0.042850440963476,0.9409169351824862,neutral,1,-0.0266178171094381,neutral,1,2012-09-13,True,True,2012_13_mantiene
69,RPM-2015-09-15:7032:1,RPM-2015-09-15,False,True,0.0679591150797528,0.1088376162507326,0.8232032686695144,neutral,1,-0.0408785011709798,neutral,1,2015-09-15,True,True,2015_quiebre
70,RPM-2008-03-13:1718:6,RPM-2008-03-13,False,True,0.01177564555834,0.0409532571889154,0.9472710972527444,neutral,1,-0.0291776116305754,neutral,1,2008-03-13,True,False,2008_crisis_alza
71,RPM-2007-06-14:1308:1,RPM-2007-06-14,False,True,0.3883935618189365,0.3300667420944834,0.2815396960865801,hawkish,1,0.0583268197244531,hawkish,1,2007-06-14,True,True,2007_mixto
72,RPM-2006-10-12:923:1,RPM-2006-10-12,False,True,0.1101279101718381,0.1063017989593666,0.7835702908687953,neutral,1,0.0038261112124714,neutral,1,2006-10-12,True,True,2006_alza_fin
73,RPM-2010-10-14:3441:1,RPM-2010-10-14,False,True,0.0094247640706294,0.0214931047772134,0.969082131152157,neutral,1,-0.012068340706584,neutral,1,2010-10-14,True,False,2010_alza_emergencia
74,RPM-2006-06-15:678:1,RPM-2006-06-15,True,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2006-06-15,True,False,2006_alza_fin
75,RPM-2007-01-11:1053:1,RPM-2007-01-11,False,True,0.6508009370605866,0.238279298062361,0.1109197648770522,hawkish,1,0.4125216389982256,dovish,1,2007-01-11,False,True,2007_mixto
76,RPM-2011-12-13:4498:2,RPM-2011-12-13,False,True,0.0134051272138933,0.0330917292028601,0.9535031435832466,neutral,1,-0.0196866019889667,neutral,1,2011-12-13,True,False,2011_alza
77,RPM-2009-05-07:2537:1,RPM-2009-05-07,False,True,0.0179928949812468,0.0232859492899693,0.9587211557287838,neutral,1,-0.0052930543087224,neutral,1,2009-05-07,True,True,2009_bajas
78,RPM-2014-11-18:6515:1,RPM-2014-11-18,False,True,0.2060651187438952,0.6871088757444513,0.1068260055116533,dovish,1,-0.4810437570005561,hawkish,1,2014-11-18,False,True,2013_14_bajas
79,RPM-2006-06-15:732:1,RPM-2006-06-15,False,True,0.1158804230996033,0.6423070542689879,0.2418125226314087,dovish,1,-0.5264266311693846,hawkish,1,2006-06-15,False,True,2006_alza_fin
80,RPM-2011-03-17:3827:1,RPM-2011-03-17,False,True,0.0317707807599807,0.0491942831047856,0.9190349361352336,neutral,1,-0.0174235023448048,neutral,1,2011-03-17,True,False,2011_alza
81,RPM-2007-12-13:1609:1,RPM-2007-12-13,False,True,0.4062780223046898,0.1920091312351988,0.4017128464601112,hawkish,1,0.2142688910694909,hawkish,1,2007-12-13,True,True,2007_mixto
82,RPM-2007-05-10:1231:2,RPM-2007-05-10,False,True,0.2867056238797072,0.3249919260901112,0.3883024500301815,neutral,1,-0.0382863022104039,neutral,1,2007-05-10,True,True,2007_mixto
83,RPM-2015-01-15:6594:2,RPM-2015-01-15,False,True,0.1045672199149337,0.7739728451408725,0.1214599349441937,dovish,1,-0.6694056252259387,neutral,1,2015-01-15,False,True,2015_quiebre
84,RPM-2009-04-09:2478:3,RPM-2009-04-09,False,True,0.0408126347491011,0.0783672739492287,0.88082009130167,neutral,1,-0.0375546392001276,neutral,1,2009-04-09,True,True,2009_bajas
85,RPM-2008-09-04:2085:3,RPM-2008-09-04,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2008-09-04,True,True,2008_crisis_alza
86,RPM-2011-06-14:4100:1,RPM-2011-06-14,False,True,0.0515368423403959,0.0429786089697345,0.9054845486898696,neutral,1,0.0085582333706613,neutral,1,2011-06-14,True,True,2011_alza
87,RPM-2006-12-14:996:1,RPM-2006-12-14,False,True,0.0139508420151672,0.011933926409769,0.9741152315750636,neutral,1,0.0020169156053981,neutral,1,2006-12-14,True,False,2006_alza_fin
88,RPM-2014-02-18:6039:1,RPM-2014-02-18,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2014-02-18,True,True,2013_14_bajas
89,RPM-2010-05-13:3082:1,RPM-2010-05-13,False,True,0.1028196710616151,0.0847860907093338,0.8123942382290509,neutral,1,0.0180335803522812,neutral,1,2010-05-13,True,True,2010_alza_emergencia
90,RPM-2006-12-14:997:1,RPM-2006-12-14,False,True,0.0104951305013597,0.0166703507757383,0.9728345187229018,neutral,1,-0.0061752202743785,neutral,1,2006-12-14,True,True,2006_alza_fin
91,RPM-2007-03-15:1126:1,RPM-2007-03-15,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2007-03-15,True,False,2007_mixto
92,RPM-2014-12-11:6519:1,RPM-2014-12-11,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2014-12-11,True,False,2013_14_bajas
93,RPM-2013-09-12:5784:1,RPM-2013-09-12,False,True,0.0093617825530873,0.030631862301867,0.9600063551450456,neutral,1,-0.0212700797487797,neutral,1,2013-09-12,True,False,2012_13_mantiene
94,RPM-2006-05-11:663:4,RPM-2006-05-11,False,True,0.0305728099465205,0.0247412467607989,0.9446859432926804,neutral,1,0.0058315631857216,neutral,1,2006-05-11,True,True,2006_alza_fin
95,RPM-2014-05-15:6203:1,RPM-2014-05-15,False,True,0.0104052193548977,0.0141538449291132,0.975440935715989,neutral,1,-0.0037486255742154,neutral,1,2014-05-15,True,False,2013_14_bajas
96,RPM-2007-10-11:1481:2,RPM-2007-10-11,False,True,0.0567983236419269,0.0391773232868314,0.9040243530712416,neutral,1,0.0176210003550955,neutral,1,2007-10-11,True,True,2007_mixto
97,RPM-2010-09-16:3377:1,RPM-2010-09-16,False,True,0.0287703133927612,0.0289127284614398,0.942316958145799,neutral,1,-0.0001424150686785,neutral,1,2010-09-16,True,False,2010_alza_emergencia
98,RPM-2007-09-13:1435:1,RPM-2007-09-13,True,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2007-09-13,True,False,2007_mixto
99,RPM-2007-07-12:1344:1,RPM-2007-07-12,False,True,0.3831854124961807,0.3809956014617321,0.2358189860420871,hawkish,1,0.0021898110344486,hawkish,1,2007-07-12,True,True,2007_mixto
100,RPM-2013-07-11:5699:2,RPM-2013-07-11,True,True,0.0166487671312628,0.6039842363725486,0.3793669964961886,dovish,1,-0.5873354692412858,hawkish,1,2013-07-11,False,True,2012_13_mantiene
101,RPM-2008-09-04:2092:1,RPM-2008-09-04,False,True,0.8859786851267957,0.0763282383285548,0.0376930765446495,hawkish,1,0.8096504467982408,hawkish,1,2008-09-04,True,True,2008_crisis_alza
102,RPM-2008-10-09:2107:3,RPM-2008-10-09,False,True,0.0119658438792336,0.0632251099299902,0.924809046190776,neutral,1,-0.0512592660507565,neutral,1,2008-10-09,True,True,2008_crisis_alza
103,RPM-2007-11-13:1521:1,RPM-2007-11-13,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2007-11-13,True,False,2007_mixto
104,RPM-2015-06-11:6845:1,RPM-2015-06-11,False,True,0.019519186070327,0.0771570280339248,0.903323785895748,neutral,1,-0.0576378419635977,neutral,1,2015-06-11,True,True,2015_quiebre
105,RPM-2014-06-12:6246:1,RPM-2014-06-12,False,True,0.0590694284737738,0.1130409635620951,0.8278896079641309,neutral,1,-0.0539715350883212,neutral,1,2014-06-12,True,True,2013_14_bajas
106,RPM-2008-12-11:2241:1,RPM-2008-12-11,False,True,0.3637125173291841,0.5105333862814008,0.125754096389415,dovish,1,-0.1468208689522167,dovish,1,2008-12-11,True,True,2008_crisis_alza
107,RPM-2012-07-12:4973:3,RPM-2012-07-12,False,True,0.1641650436772714,0.6348485532945695,0.2009864030281592,dovish,1,-0.4706835096172981,neutral,1,2012-07-12,False,True,2012_13_mantiene
108,RPM-2011-06-14:4112:1,RPM-2011-06-14,False,True,0.6643595403607793,0.2536361104014973,0.0820043492377235,hawkish,1,0.4107234299592819,hawkish,1,2011-06-14,True,True,2011_alza
109,RPM-2008-04-10:1752:1,RPM-2008-04-10,False,True,0.005350857398451,0.011914511348463,0.982734631253086,neutral,1,-0.006563653950012,neutral,1,2008-04-10,True,False,2008_crisis_alza
110,RPM-2009-04-09:2447:5,RPM-2009-04-09,False,True,0.0164667043363612,0.1219781738613536,0.8615551218022852,neutral,1,-0.1055114695249923,neutral,1,2009-04-09,True,True,2009_bajas
111,RPM-2007-09-13:1449:3,RPM-2007-09-13,False,True,0.0203372300664164,0.0536599455737026,0.9260028243598808,neutral,1,-0.0333227155072862,neutral,1,2007-09-13,True,False,2007_mixto
112,RPM-2015-07-14:6915:1,RPM-2015-07-14,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2015-07-14,True,False,2015_quiebre
113,RPM-2005-08-11:361:1,RPM-2005-08-11,False,True,0.815259561754024,0.1326255159413903,0.0521149223045856,hawkish,1,0.6826340458126336,hawkish,1,2005-08-11,True,True,2006_alza_fin
114,RPM-2014-08-14:6367:1,RPM-2014-08-14,False,True,0.0111778429242352,0.0479074905267342,0.9409146665490308,neutral,1,-0.0367296476024989,neutral,1,2014-08-14,True,False,2013_14_bajas
115,RPM-2013-02-14:5363:1,RPM-2013-02-14,False,True,0.0070340057408509,0.0291695964643894,0.9637963977947596,neutral,1,-0.0221355907235385,neutral,1,2013-02-14,True,True,2012_13_mantiene
116,RPM-2008-01-10:1633:2,RPM-2008-01-10,False,True,0.4049193873266282,0.3192027216794573,0.2758778909939143,hawkish,1,0.0857166656471709,hawkish,1,2008-01-10,True,True,2008_crisis_alza
117,RPM-2008-06-10:1912:1,RPM-2008-06-10,False,True,0.848489918887534,0.1275000303069766,0.0240100508054893,hawkish,1,0.7209898885805573,hawkish,1,2008-06-10,True,True,2008_crisis_alza
118,RPM-2010-04-15:3029:2,RPM-2010-04-15,False,True,0.0681187129430687,0.083667102933419,0.8482141841235122,neutral,1,-0.0155483899903502,neutral,1,2010-04-15,True,True,2010_alza_emergencia
119,RPM-2010-01-14:2880:1,RPM-2010-01-14,False,True,0.0580768985481687,0.2108826947473046,0.7310404067045266,neutral,1,-0.1528057961991359,neutral,1,2010-01-14,True,True,2010_alza_emergencia
120,RPM-2014-05-15:6220:2,RPM-2014-05-15,True,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2014-05-15,True,True,2013_14_bajas
121,RPM-2013-08-13:5705:1,RPM-2013-08-13,False,True,0.0200818793029242,0.0936372310907617,0.886280889606314,neutral,1,-0.0735553517878375,neutral,1,2013-08-13,True,True,2012_13_mantiene
122,RPM-2011-04-12:3944:1,RPM-2011-04-12,False,True,0.0172757719033694,0.0065263991773584,0.976197828919272,neutral,1,0.0107493727260109,neutral,1,2011-04-12,True,True,2011_alza
123,RPM-2011-01-13:3711:1,RPM-2011-01-13,False,True,0.557810458639406,0.3698200677909223,0.0723694735696716,hawkish,1,0.1879903908484837,hawkish,1,2011-01-13,True,True,2011_alza
124,RPM-2008-06-10:1884:1,RPM-2008-06-10,False,True,0.054040043643624,0.1246333058204558,0.82132665053592,neutral,1,-0.0705932621768317,neutral,1,2008-06-10,True,False,2008_crisis_alza
125,RPM-2015-12-17:7182:1,RPM-2015-12-17,False,True,0.0407480957902155,0.0596779049327695,0.899573999277015,neutral,1,-0.018929809142554,neutral,1,2015-12-17,True,True,2015_quiebre
126,RPM-2014-09-11:6438:2,RPM-2014-09-11,False,True,0.107170209872379,0.7183925348432919,0.1744372552843289,dovish,1,-0.6112223249709128,dovish,1,2014-09-11,True,True,2013_14_bajas
127,RPM-2011-01-13:3652:1,RPM-2011-01-13,False,True,0.0607561750755148,0.0720890282664304,0.8671547966580546,neutral,1,-0.0113328531909155,neutral,1,2011-01-13,True,False,2011_alza
128,RPM-2011-07-14:4174:1,RPM-2011-07-14,False,True,0.0242603985347839,0.0469039439356911,0.9288356575295248,neutral,1,-0.0226435454009071,neutral,1,2011-07-14,True,True,2011_alza
129,RPM-2010-03-18:3011:3,RPM-2010-03-18,False,True,0.3468120686454929,0.361595135980446,0.291592795374061,dovish,1,-0.0147830673349531,neutral,1,2010-03-18,False,True,2010_alza_emergencia
130,RPM-2009-12-15:2826:3,RPM-2009-12-15,False,True,0.0376212261297966,0.0319551908551294,0.930423583015074,neutral,1,0.0056660352746672,neutral,1,2009-12-15,True,False,2009_bajas
131,RPM-2015-12-17:7196:1,RPM-2015-12-17,False,True,0.0197997257828489,0.0549365979046387,0.9252636763125124,neutral,1,-0.0351368721217898,neutral,1,2015-12-17,True,True,2015_quiebre
132,RPM-2008-07-10:1923:5,RPM-2008-07-10,False,True,0.0112639324398602,0.0175047896210856,0.971231277939054,neutral,1,-0.0062408571812254,neutral,1,2008-07-10,True,False,2008_crisis_alza
133,RPM-2015-03-19:6688:1,RPM-2015-03-19,True,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2015-03-19,True,False,2015_quiebre
134,RPM-2012-02-14:4609:1,RPM-2012-02-14,False,True,0.0122303150994953,0.0694694475487583,0.9183002373517464,neutral,1,-0.057239132449263,neutral,1,2012-02-14,True,False,2012_13_mantiene
135,RPM-2006-06-15:707:1,RPM-2006-06-15,False,True,0.0388822633785606,0.038383678274752,0.9227340583466874,neutral,1,0.0004985851038086,neutral,1,2006-06-15,True,True,2006_alza_fin
136,RPM-2010-07-15:3261:1,RPM-2010-07-15,False,True,0.0496231891131057,0.096526178673231,0.8538506322136632,neutral,1,-0.0469029895601252,neutral,1,2010-07-15,True,True,2010_alza_emergencia
137,RPM-2013-08-13:5749:1,RPM-2013-08-13,True,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2013-08-13,True,False,2012_13_mantiene
138,RPM-2007-03-15:1160:1,RPM-2007-03-15,False,True,0.5428961601177881,0.2616211837480353,0.1954826561341767,hawkish,1,0.2812749763697528,dovish,1,2007-03-15,False,True,2007_mixto
139,RPM-2010-12-16:3623:1,RPM-2010-12-16,False,True,0.010881413757391,0.0323878821315233,0.9567307041110856,neutral,1,-0.0215064683741322,neutral,1,2010-12-16,True,False,2010_alza_emergencia
140,RPM-2009-03-12:2407:1,RPM-2009-03-12,False,True,0.0302336639074807,0.0414583065600991,0.92830802953242,neutral,1,-0.0112246426526184,neutral,1,2009-03-12,True,False,2009_bajas
141,RPM-2006-11-16:986:1,RPM-2006-11-16,False,True,0.3435216919106715,0.425255733117633,0.2312225749716954,dovish,1,-0.0817340412069614,hawkish,1,2006-11-16,False,True,2006_alza_fin
