row_idx	source_id	year	stance_label	texto_en	texto_es
29	64	2021	dovish	moreover, the economy was still immersed in a context where uncertainty was higher than it had been until a couple of years ago and where the prospects for investment and growth were constrained for the coming years.	Además, la economía seguía inmersa en un contexto donde la incertidumbre era mayor que hasta hacía un par de años y donde las perspectivas de inversión y crecimiento estaban restringidas para los años siguientes.
30	709	2021	hawkish	the consumer and business confidence indicators endorsed this scenario, standing in highly favorable territory.	Los indicadores de confianza de consumidores y empresas respaldaban este escenario, situándose en terreno altamente favorable.
31	247	2021	neutral	although some correction was to be expected, it was clear that on average they would be well above estimates of just a few weeks before.	Aunque cabía esperar cierta corrección, estaba claro que en promedio se situarían muy por encima de las estimaciones de apenas unas semanas antes.
32	434	2023	hawkish	at its december meeting, the u.s. federal reserve (fed) had raised range of the fed funds rate by 50 basis points (bp), to 4.25%-4.5%, in the context of a still tight labor market, which continued to pose an important upward risk for inflation.	En su reunión de diciembre, la Reserva Federal de Estados Unidos (Fed) había elevado el rango de la tasa de fondos federales en 50 puntos base, a 4.25%-4.5%, en un contexto de un mercado laboral aún estrecho, que seguía representando un importante riesgo al alza para la inflación.
33	362	2018	neutral	it was added that this evidence or feeling of capacity gaps in the labor market could be related, on the demand side, with a labor hoarding behavior on the part of companies, while, on the supply side, to the evolution of the labor supply and the participation of different components had been more dynamic than estimated, because, for example, of the strong contribution of immigrant workers.	Se agregó que esta evidencia o percepción de brechas de capacidad en el mercado laboral podía relacionarse, por el lado de la demanda, con un comportamiento de retención de trabajadores por parte de las empresas, mientras que, por el lado de la oferta, con que la evolución de la oferta laboral y la participación de distintos componentes había sido más dinámica de lo estimado, por ejemplo, por el fuerte aporte de los trabajadores inmigrantes.
34	215	2024	hawkish	on the one hand, the somewhat stronger domestic demand, in a context where the higher copper price boosted up the terms of trade.	Por una parte, la demanda interna algo más fuerte, en un contexto donde el mayor precio del cobre impulsaba los términos de intercambio.
35	879	2019	dovish	in other words, adjusting again the rate based on partial and qualitative background could increase, rather than reduce, uncertainty in the economy if it was not clear how much the macro projections had changed and how deep and persistent the additional monetary stimulus was intended to be.	En otras palabras, ajustar nuevamente la tasa sobre la base de antecedentes parciales y cualitativos podía aumentar, en vez de reducir, la incertidumbre en la economía si no estaba claro cuánto habían cambiado las proyecciones macroeconómicas y cuán profundo y persistente se pretendía que fuera el estímulo monetario adicional.
36	985	2019	neutral	until the time of the meeting, the effects on local financial markets had been limited.	Hasta el momento de la reunión, los efectos sobre los mercados financieros locales habían sido limitados.
37	652	2023	neutral	as for two-year inflation expectations, in both the economic expectations survey (ees) and the financial traders survey (fts) they remained at 3%.	En cuanto a las expectativas de inflación a dos años, tanto en la Encuesta de Expectativas Económicas (EEE) como en la Encuesta de Operadores Financieros (EOF) permanecían en 3%.
38	316	2019	hawkish	second, the necessary consistency between exchange rate intervention and monetary policy limited the room for rate reductions over the coming months, as speculation on the latter could generate the kind of volatility the intervention sought to avoid.	Segundo, la necesaria consistencia entre la intervención cambiaria y la política monetaria limitaba el espacio para reducciones de tasa en los meses siguientes, ya que la especulación sobre estas podía generar el tipo de volatilidad que la intervención buscaba evitar.
39	489	2020	neutral	moreover, the prevailing vision was that not all the layoffs due to the pandemic would be reversed.	Además, la visión predominante era que no todos los despidos debidos a la pandemia se revertirían.
40	89	2018	neutral	in mexico, at the statistical cutoff date, the proposals announced by the newly-elected government generated uncertainty at the fiscal level, while the expansion projections for argentina had been cut due to the narrowing of monetary conditions, beyond the positive surprise from first-quarter gdp.	En México, a la fecha de cierre estadístico, las propuestas anunciadas por el gobierno recién electo generaban incertidumbre en el ámbito fiscal, mientras las proyecciones de expansión para Argentina se habían recortado por el estrechamiento de las condiciones monetarias, más allá de la sorpresa positiva del PIB del primer trimestre.
41	977	2022	hawkish	headline inflation had reached 13.7% annually in september, slightly less than in august, while core inflation —the cpi minus volatiles— had risen to 11.1% annually.	La inflación total había alcanzado 13.7% anual en septiembre, algo menos que en agosto, mientras la inflación subyacente —el IPC sin volátiles— había subido a 11.1% anual.
42	199	2018	neutral	regarding the price of a barrel of oil, wti and brent showed opposite movements (of the order of +5.8 and -3.4%, respectively), significantly reducing the spread between the two.	Respecto del precio del barril de petróleo, el WTI y el Brent mostraban movimientos opuestos (del orden de +5.8 y -3.4%, respectivamente), reduciendo significativamente la diferencia entre ambos.
43	277	2021	dovish	in this scenario, excessive tightening of local financial conditions could be counterproductive, and the board would keep a watchful eye on economic developments.	En este escenario, un endurecimiento excesivo de las condiciones financieras locales podía ser contraproducente, y el Consejo seguiría atento a la evolución económica.
44	878	2022	dovish	there was agreement that the option of raising the mpr by 50bp did not seem consistent with the current macro framework.	Había acuerdo en que la opción de aumentar la TPM en 50 puntos base no parecía consistente con el marco macroeconómico actual.
45	789	2018	hawkish	primarily, it showed that growth in activity had increased in recent months, particularly in the non-mining sectors.	Principalmente, mostraba que el crecimiento de la actividad había aumentado en los últimos meses, particularmente en los sectores no mineros.
46	408	2019	dovish	although some of this was due to some sector-specific factors, also noteworthy was the deceleration of consumption and a deterioration of its fundamentals, including the lower dynamism of private salaried employment, and that consumer expectations had fallen since early in the year.	Aunque parte de esto se debía a factores sectoriales específicos, también destacaban la desaceleración del consumo y el deterioro de sus fundamentos, incluido el menor dinamismo del empleo asalariado privado, y que las expectativas de los consumidores habían caído desde comienzos de año.
47	865	2019	dovish	however, the deflationary effects of potential appreciations of their currencies would still be present and strong.	Sin embargo, los efectos deflacionarios de eventuales apreciaciones de sus monedas seguirían presentes y serían fuertes.
48	148	2022	dovish	the fall in commodity prices was stressed, affecting not only those products most sensitive to the economic cycle, such as copper, but also foods and energy, whose supply forces had been decisive in recent months.	Se destacó la caída de los precios de las materias primas, que afectaba no solo a los productos más sensibles al ciclo económico, como el cobre, sino también a los alimentos y la energía, cuyos factores de oferta habían sido decisivos en los últimos meses.
49	894	2020	hawkish	on the other hand, the inherent pressures of the idiosyncratic depreciation that the peso had accumulated since october 2019 were still present.	Por otra parte, seguían presentes las presiones propias de la depreciación idiosincrática que el peso había acumulado desde octubre de 2019.
50	37	2021	neutral	first, a shift from a coordinated global cycle to one that could be quite unsynchronized, especially between china and the united states.	Primero, un cambio desde un ciclo global coordinado hacia uno que podía estar bastante desincronizado, especialmente entre China y Estados Unidos.
51	776	2019	dovish	one board member estimated that in certain aspects the option of a 25bp reduction dominated over the 50bp option.	Un consejero estimó que, en ciertos aspectos, la opción de una reducción de 25 puntos base dominaba sobre la opción de 50 puntos base.
52	380	2019	neutral	some board members said that the possible negative effect on demand would dominate in the evolution of inflation, while in the opinion of other board members the effects on the productive capacity and the potential impact on demand of some proposals should not be ruled out, therefore the impact on inflation in the medium term was still uncertain.	Algunos consejeros señalaron que el posible efecto negativo sobre la demanda dominaría en la evolución de la inflación, mientras que, a juicio de otros consejeros, no debían descartarse los efectos sobre la capacidad productiva y el potencial impacto sobre la demanda de algunas propuestas, por lo que el impacto sobre la inflación en el mediano plazo seguía siendo incierto.
53	851	2018	neutral	in the area of fiscal policy, it was mentioned that the proposed budget of the public sector for 2019, currently being discussed by the congress, was consistent with the fiscal consolidation plan announced at the beginning of this administration.	En el ámbito de la política fiscal, se mencionó que el proyecto de presupuesto del sector público para 2019, que se discutía en el Congreso, era consistente con el plan de consolidación fiscal anunciado al inicio de esta administración.
54	697	2021	hawkish	also noteworthy were the improved capacity of companies to adapt to the sanitary restrictions, a positive flow of credit oriented to the worst affected companies, a substantial volume of support to households suffering income losses, and substantial progress in the covid-19 vaccination program.	También destacaban la mayor capacidad de las empresas para adaptarse a las restricciones sanitarias, un flujo positivo de crédito orientado a las empresas más afectadas, un volumen considerable de apoyo a los hogares que sufrían pérdidas de ingresos y avances sustanciales en el programa de vacunación contra el covid-19.
55	814	2020	dovish	in his view, the risk of having an inflation rate below the target could become significant in the coming quarters.	A su juicio, el riesgo de tener una tasa de inflación por debajo de la meta podía volverse significativo en los próximos trimestres.
56	904	2021	dovish	however, it was pointed out that this recovery was still very heterogeneous, which was especially evident in the labor market and left no doubt that there were still loopholes to be closed in the economy.	Sin embargo, se señaló que esta recuperación seguía siendo muy heterogénea, lo que era especialmente evidente en el mercado laboral y no dejaba dudas de que aún existían brechas por cerrar en la economía.
57	252	2023	hawkish	the activity gap was significantly revised upwards when removing the transitory effect on activity in the transport sector.	La brecha de actividad se revisó significativamente al alza al eliminar el efecto transitorio sobre la actividad del sector transporte.
58	929	2020	dovish	also, in the business perceptions report (ipn) of february, most of the respondents saw a tightening of financial conditions, mainly due to some increase in interest rates in certain segments—although they noted that they were still low by the usual standards— and greater difficulties in credit granting requirements.	Además, en el Informe de Percepciones de Negocios (IPN) de febrero, la mayoría de los consultados percibía un endurecimiento de las condiciones financieras, principalmente por cierto aumento de las tasas de interés en algunos segmentos —aunque señalaban que seguían bajas según los estándares habituales— y mayores dificultades en los requisitos para otorgar crédito.
59	611	2023	neutral	that is, the mpr would be kept at 11.25% until the state of the economy informed that the convergence of inflation to 3% was consolidated.	Es decir, la TPM se mantendría en 11.25% hasta que el estado de la economía indicara que la convergencia de la inflación a 3% estaba consolidada.
60	500	2023	dovish	at the same time, the cpi accumulated a somewhat smaller-than-expected increase, mainly in the non-volatile goods component.	Al mismo tiempo, el IPC acumulaba un aumento algo menor al esperado, principalmente en el componente de bienes no volátiles.
61	163	2019	neutral	trend and potential growth, activity gap and neutral interest rate).	crecimiento tendencial y potencial, brecha de actividad y tasa de interés neutral).
62	280	2021	hawkish	this scenario had been shaped amid low inventory levels, where replenishment was occurring gradually, and transportation costs ran high.	Este escenario se había configurado en medio de bajos niveles de inventarios, cuya reposición ocurría gradualmente, y altos costos de transporte.
63	942	2021	dovish	all this occurred in a context in which cost pressures continued to be present, linked to the difficulties in the supply of goods, soaring transportation costs and/or the high prices of inputs and commodities.	Todo esto ocurría en un contexto donde seguían presentes las presiones de costos, ligadas a dificultades en el suministro de bienes, costos de transporte crecientes y/o altos precios de insumos y materias primas.
64	596	2023	dovish	it was suggested that another reason that could explain this short-term volatility was the fact that the central bank of chile was one of the first to begin reducing its reference rate, with prospects that the reduction would continue in the future.	Se sugirió que otra razón que podía explicar esta volatilidad de corto plazo era que el Banco Central de Chile había sido uno de los primeros en comenzar a reducir su tasa de referencia, con perspectivas de que la reducción continuara en el futuro.
65	604	2018	irrelevant	in that sense, there were elements that interfered in that understanding.	En ese sentido, había elementos que interferían en esa comprensión.
66	217	2019	dovish	argentina had officially entered a recession in the third quarter of 2018 and partial figures for the fourth quarter pointed to a new contraction.	Argentina había entrado oficialmente en recesión en el tercer trimestre de 2018 y las cifras parciales del cuarto trimestre apuntaban a una nueva contracción.
67	395	2019	dovish	december’s inflation had been at -0.1%, affected mainly by a fall in the prices of its most volatile items.	La inflación de diciembre había sido de -0.1%, afectada principalmente por una caída en los precios de sus ítems más volátiles.
68	997	2020	neutral	meanwhile, the annual change in the stock of consumer loans continued to shrink in march, while mortgage loans continued to grow at around 8%.	Mientras tanto, la variación anual del saldo de créditos de consumo continuaba disminuyendo en marzo, mientras los créditos hipotecarios seguían creciendo en torno a 8%.
69	475	2022	neutral	all the board members agreed that the background information known since the october meeting was, for the most part, consistent with the decision announced at the time.	Todos los consejeros coincidían en que los antecedentes conocidos desde la reunión de octubre eran, en su mayor parte, consistentes con la decisión anunciada en esa ocasión.
70	203	2021	hawkish	inflation kept rising steadily, to more than 6.5% annually, due mainly to the exceptional expansion of domestic demand and the depreciation of the peso caused by local factors.	La inflación seguía aumentando sostenidamente, hasta más de 6.5% anual, debido principalmente a la expansión excepcional de la demanda interna y la depreciación del peso causada por factores locales.
71	850	2019	neutral	trade tensions between the us and china had moderated somewhat, but with a limited impact on the markets.	Las tensiones comerciales entre Estados Unidos y China se habían moderado algo, pero con un impacto limitado en los mercados.
72	963	2018	neutral	on the consumer side, the sale of durable goods, again led by automobile sales, kept performing more favorably than non-durables, whose imports were dynamic nonetheless.	Por el lado del consumo, la venta de bienes durables, nuevamente liderada por las ventas de automóviles, seguía mostrando un desempeño más favorable que la de no durables, cuyas importaciones eran de todos modos dinámicas.
73	982	2020	neutral	all the board members voted for adopting a set of extraordinary measures.	Todos los consejeros votaron por adoptar un conjunto de medidas extraordinarias.
74	445	2018	neutral	it was noted that the scenario was still favorable in terms of global growth and financial conditions, however significant changes had been observed in commodity prices and exchange rates.	Se señaló que el escenario seguía siendo favorable en términos de crecimiento global y condiciones financieras, aunque se habían observado cambios significativos en los precios de las materias primas y los tipos de cambio.
75	507	2021	hawkish	consumer loans had continued to reduce their annual contraction (–14.6% real annual contraction in june), in response to abundant household liquidity, and flows in the mortgage portfolio were stable in the margin.	Los créditos de consumo habían seguido reduciendo su contracción anual (–14.6% de contracción real anual en junio), en respuesta a la abundante liquidez de los hogares, y los flujos de la cartera hipotecaria estaban estables en el margen.
76	645	2020	neutral	since the last meeting, annual inflation had risen to 3% and the core measure (cpiefe) had remained at around 2.5%.	Desde la última reunión, la inflación anual había subido a 3% y la medida subyacente (IPCSAE) había permanecido en torno a 2.5%.
77	196	2022	neutral	it was noted that the conduct of monetary policy was based not only on analyzing inflation, but it also had a component of economic growth.	Se señaló que la conducción de la política monetaria no se basaba solo en analizar la inflación, sino que también tenía un componente de crecimiento económico.
78	708	2020	neutral	all five board members agreed that the option of holding the mpr at 1.75% dominated over any other.	Los cinco consejeros coincidieron en que la opción de mantener la TPM en 1.75% dominaba sobre cualquier otra.
79	785	2022	hawkish	high inflation was having a significant impact on the incomes and expectations of economic agents.	La alta inflación estaba teniendo un impacto significativo en los ingresos y las expectativas de los agentes económicos.
80	423	2020	neutral	as for portfolio risk, between april and may the financial market commission data showed no significant change in bank arrears of 90 days or more.	En cuanto al riesgo de cartera, entre abril y mayo los datos de la Comisión para el Mercado Financiero no mostraban cambios significativos en la morosidad bancaria de 90 días o más.
81	683	2020	dovish	meanwhile, household demand remained weak —for the consumer and mortgage segments—, related to the users’ worsened income and/or employment conditions.	Mientras tanto, la demanda de los hogares seguía débil —en los segmentos de consumo e hipotecario—, relacionada con el deterioro de las condiciones de ingreso y/o empleo de los usuarios.
82	415	2023	hawkish	in any case, global inflation was still high, as the persistence of the core data continued to indicate, and inflationary pressures remained quite significant.	En cualquier caso, la inflación global seguía alta, como continuaba indicando la persistencia de los datos subyacentes, y las presiones inflacionarias seguían siendo bastante significativas.
83	895	2022	hawkish	these developments occurred in the midst of still high cost pressures, as confirmed by preliminary data for the business perceptions report (ipn) of february 2022, where the persistence of procurement and product availability problems were widely mentioned by the companies consulted and continued to put pressure on margins, while still facing high demand.	Estos acontecimientos ocurrían en medio de presiones de costos aún altas, como confirmaban los datos preliminares del Informe de Percepciones de Negocios (IPN) de febrero de 2022, donde las empresas consultadas mencionaban ampliamente la persistencia de problemas de abastecimiento y disponibilidad de productos, que seguían presionando los márgenes, mientras aún enfrentaban una alta demanda.
84	693	2023	dovish	one board member pointed out that analyzing the option of making a small reduction to the mpr at this meeting could be valid.	Un consejero señaló que podía ser válido analizar la opción de efectuar una pequeña reducción de la TPM en esta reunión.
85	993	2019	dovish	in particular, although inflation had closed 2018 somewhat below projections, it was adjusting in the foreseen direction.	En particular, aunque la inflación había cerrado 2018 algo por debajo de las proyecciones, se estaba ajustando en la dirección prevista.
86	781	2021	neutral	governor marcel and board members garcía, naudon and costa voted in favor of holding the mpr at 0.5%.	El presidente Marcel y los consejeros García, Naudon y Costa votaron a favor de mantener la TPM en 0.5%.
87	400	2018	hawkish	in previous meetings, this option had been justified mainly under a risk management argument to lower inflation that could affect its convergence to the goal in the policy horizon.	En reuniones anteriores, esta opción se había justificado principalmente con un argumento de gestión de riesgos para reducir la inflación que podía afectar su convergencia a la meta en el horizonte de política.
88	132	2020	dovish	governor marcel, vice-governor vial and board members garcía, naudon and costa voted for holding the mpr at its technical minimum of 0.5% while strengthening the policy orientation, noting that the mpr will be kept at that level over the entire policy horizon.	El presidente Marcel, el vicepresidente Vial y los consejeros García, Naudon y Costa votaron por mantener la TPM en su mínimo técnico de 0.5%, reforzando al mismo tiempo la orientación de política al señalar que la TPM se mantendrá en ese nivel durante todo el horizonte de política.
89	55	2020	neutral	in any case, in the medium term, inflation expectations remained at around 3%, even though in the shorter term they were below the bank’s projections.	En cualquier caso, en el mediano plazo las expectativas de inflación permanecían en torno a 3%, aunque en el plazo más corto estaban por debajo de las proyecciones del Banco.
90	981	2021	neutral	although this seemed to be largely explained by the high basis of comparison, another possibility was that, once the most difficult stage of the sanitary emergency was over and a sales had recovered, many companies had begun to reduce their future financial burden, either through amortizations or rescheduling.	Aunque esto parecía explicarse en gran medida por la alta base de comparación, otra posibilidad era que, una vez superada la etapa más difícil de la emergencia sanitaria y recuperadas las ventas, muchas empresas habían comenzado a reducir su carga financiera futura, ya fuera mediante amortizaciones o reprogramaciones.
91	847	2020	dovish	all the board members stressed the need to extend the bank’s powers and instruments to take action when confronting riskier scenarios, considering the high degree of uncertainty that still hovers over the spread of the pandemic, the performance of the domestic economy, and the dynamics of the financial markets.	Todos los consejeros destacaron la necesidad de ampliar las facultades e instrumentos del Banco para actuar frente a escenarios más riesgosos, considerando el alto grado de incertidumbre que aún rodea la propagación de la pandemia, el desempeño de la economía interna y la dinámica de los mercados financieros.
92	193	2019	dovish	medium- and long-term fixed income rates had declined sharply.	Las tasas de renta fija de mediano y largo plazo habían disminuido marcadamente.
93	696	2019	hawkish	in his view, the need to lower the mpr so fast was tempered by the fact that inflation had begun to rise towards the target and the current-account balance measured at trend prices was high.	A su juicio, la necesidad de reducir la TPM tan rápidamente se moderaba porque la inflación había comenzado a subir hacia la meta y el saldo de la cuenta corriente medido a precios de tendencia era alto.
94	431	2020	neutral	there was agreement that the challenges for monetary policy were also considerable in this context.	Había acuerdo en que los desafíos para la política monetaria también eran considerables en este contexto.
95	620	2023	dovish	all measurements coincided in that the first cut would take place between the july and september meetings, although they differed as to its magnitude.	Todas las mediciones coincidían en que el primer recorte tendría lugar entre las reuniones de julio y septiembre, aunque diferían en cuanto a su magnitud.
96	660	2022	hawkish	investment, on the other hand, had been surprisingly strong, although growth was concentrated mainly in some particular sectors, such as renewable energies.	La inversión, por otra parte, había sido sorprendentemente fuerte, aunque el crecimiento se concentraba principalmente en algunos sectores específicos, como las energías renovables.
97	388	2024	dovish	all five board members agreed that the background information accumulated since the last meeting indicated that the mp should be further reduced.	Los cinco consejeros coincidieron en que los antecedentes acumulados desde la última reunión indicaban que la política monetaria debía reducirse aún más.
98	177	2020	hawkish	however, it did raise a red flag, as it could somehow mean that the transmission of the idiosyncratic peso depreciation was not evolving with the intensity expected in december, or that disinflationary pressures were more acute than expected.	Sin embargo, sí encendía una señal de alerta, pues de algún modo podía significar que la transmisión de la depreciación idiosincrática del peso no estaba evolucionando con la intensidad prevista en diciembre, o que las presiones desinflacionarias eran más agudas de lo esperado.
99	859	2020	hawkish	the bank credit survey of the third quarter reported tighter conditions for all types of loans, as higher risks were perceived in all segments.	La Encuesta de Crédito Bancario del tercer trimestre señalaba condiciones más restrictivas para todos los tipos de préstamos, al percibirse mayores riesgos en todos los segmentos.
