caso_id,intervencion_id,meeting_id,etiqueta,confianza,es_relevante,frase_justificante,nota,estado_revision,uso_propuesto,metodo,etiquetador,fecha_anotacion,version_codebook,ronda,tipo_referencia,n_caracteres,n_palabras,sha256_texto,flag_cotejo_fuente,incorporado_a_train
C41,RPM-2005-08-11:366:1,RPM-2005-08-11,hawkish,alta,1,"el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,75% anual",R1/R6. Acuerdo institucional actual de alza de 25 pb y continuidad del retiro de estímulo.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,1645,256,f6c1c42ba92d064c120744afb1c8b3810abd8ef7c5f83f1a4ec2be54a7f102ed,False,0
C42,RPM-2012-05-17:4811:1,RPM-2012-05-17,neutral,alta,1,"Australia, Brasil, China e India han dado mayor impulso monetario a sus economías",R3/R5. Análisis internacional extenso con recortes y medidas de varios bancos extranjeros. No formula una recomendación monetaria para Chile; no trasladar la dirección de esas medidas.,anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,9005,1466,35fb743622c07f397ccbf47e65d60a1431aebb16f42b6b9d3d9cd183c4031467,False,0
C43,RPM-2007-01-11:1056:1,RPM-2007-01-11,dovish,alta,1,el Presidente señor Vittorio Corbo también vota por reducir la tasa de política monetaria en 25 puntos base,R1. Vota por recorte doméstico de 25 pb. La descripción de riesgos balanceados no anula la opción elegida.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,2916,471,8db1323b1c58c3547e6020878f92420199c41fdcb38780a3e588d98efde8cc15,False,0
C44,RPM-2010-09-16:3423:1,RPM-2010-09-16,hawkish,alta,1,las opciones más plausibles para esta ocasión sean un incremento de 25 o de 50 puntos base,"R5/R7. Evalúa para la reunión dos alternativas que comparten dirección de alza y argumenta continuidad de la estrategia ascendente. La duda es de magnitud/táctica, no entre signos monetarios opuestos.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,6607,1074,26428b83ea7fd984fbfbff9f6b7a6fa5fab10f751856c184323e2c355e271352,False,0
C45,RPM-2009-07-09:2640:2,RPM-2009-07-09,neutral,alta,1,"recordando que en la última Reunión de Política Monetaria el Consejo acordó reducir la tasa de interés de política monetaria hasta 0,75% anual","R5. Recapitulación de decisión y anuncio anteriores, sin evaluación o propuesta adicional dentro de esta intervención. No heredar automáticamente D de la cita histórica.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,377,60,f5ba6b2f472ee0af2069b6a416f218ee662d9e4c45f23e9df395d9e91bd12109,False,0
C46,RPM-2007-06-14:1284:2,RPM-2007-06-14,neutral,alta,1,las expectativas de mercado anticipan un aumento de entre 50 y 75 puntos base de la Tasa de Política Monetaria para fines de año,"R2/R5. Informa actividad, inflación y trayectoria esperada por el mercado/encuestas, sin recomendar o hacer propia una opción. No confundir previsión ajena con postura del expositor.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,3319,578,fccf338eddafdb84d6e87f1d1a6364728db1e69f4c449887fc2c35090e47f55a,False,0
C47,RPM-2005-10-11:446:1,RPM-2005-10-11,hawkish,alta,1,considera que un alza de 25 puntos base en la tasa de Política Monetaria es consistente con el rango meta en el horizonte habitual de política y por ello vota en tal sentido,R1. Respalda subir 25 pb. Rechazar acelerar el ritmo de normalización no convierte el voto en D.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,3694,606,92d5fbfd624efc8cd77dfd6675331e9346b3788d5ec9672c638dff9e7214a905,False,0
C48,RPM-2010-06-15:3205:2,RPM-2010-06-15,hawkish,alta,1,"El Consejo aprobó, por la unanimidad de sus miembros, aumentar la tasa de interés de política monetaria en 50 puntos base, hasta 1,00% anual",R1/R6. Acuerdo actual de alza de 50 pb e inicio del retiro del estímulo. La incertidumbre externa no altera la dirección respaldada.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,1685,261,74e26141f7dd978e47d2c3af1d3a166064a926bd78de4280a1f7375fc679e77f,False,0
C49,RPM-2015-12-17:7177:1,RPM-2015-12-17,neutral,alta,1,estas expectativas son recogidas por Bloomberg y un conjunto de bancos de inversión a los que se realiza un seguimiento más detallado,"R3/R5. Resume expectativas de tasas, incluidas las chilenas, atribuidas a terceros. No expresa una recomendación propia para la TPM.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,2152,357,43241c572f89da50bbd68630022d0c54841ae2d717eb89735b8465db5c4e2e7f,False,0
C50,RPM-2009-06-16:2598:1,RPM-2009-06-16,dovish,alta,1,"el Consejero señor Enrique Marshall vota por bajar la Tasa de Política Monetaria en 50 puntos base, para dejarla en 0,75% anual",R1. Prefiere recorte de 50 pb y mantener por tiempo prolongado un nivel bajo. Que quiera concluir pronto el proceso de recortes no revierte la baja actual.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,8652,1381,f8b261304dd773f0afb1021c9758b73d236326f2242bfc3c63b240fc945fcd3c,False,0
C51,RPM-2007-08-09:1389:1,RPM-2007-08-09,hawkish,alta,1,recomienda subir la Tasa de Política Monetaria en 25 puntos base,R5/R1. Recomendación final explícita de alza; distingue riesgos de oferta y demanda. No se etiqueta por la palabra deflación ni por el escenario condicional de alzas de 50/75 pb.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,8554,1438,371c60e7f9fb9fff7cdd1683cd0a9876d2a6f2d1b6bddd3a90986e0caa216cfb,False,0
C52,RPM-2008-02-07:1673:2,RPM-2008-02-07,hawkish,alta,1,mantener la Tasa de Política Monetaria en su nivel actual con un sesgo al alza en el comunicado,R5/R7. Mantiene hoy pero propone un sesgo al alza por expectativas inflacionarias altas. No trasladar a Chile las rebajas de la Fed/Banco de Inglaterra citadas.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,2079,341,a2e0e634795dfbd11171150a60b8aca0f961bb0a99333be691a24b5dfa5c5ac2,False,0
C53,RPM-2007-03-15:1159:1,RPM-2007-03-15,dovish,alta,1,recomienda bajar la Tasa de Política Monetaria en 25 puntos base para acercarla a ese escenario central del IPoM,R5/R1. Concluye con una recomendación de baja de 25 pb. Mantener sesgo neutral para movimientos futuros no anula el recorte recomendado.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,3619,619,476fca12291f9a6c2615e2b357174d00b846d1d2b0afc71833414540512540f3,False,0
C54,RPM-2015-11-12:7151:1,RPM-2015-11-12,hawkish,alta,1,"su voto es por mantener la TPM en 3,25% en esta Reunión y un sesgo al alza en el Comunicado",R1/R7. Respalda la trayectoria de retiro de estímulo y sesgo al alza; pospone la oportunidad del movimiento por razones tácticas.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,3132,532,ad47725bb67b4bebda2f10cf582f66f6f28fb42b4662aca7eb1e3e6696ef8eff,False,0
C55,RPM-2006-04-13:654:2,RPM-2006-04-13,hawkish,alta,1,el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 5% anual,"R1/R6. Acuerdo actual de alza explícita, acompañado por continuidad de ajustes pausados. No se infiere la dirección solo de normalización.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,2090,330,76e4463a712c47da627fd73fd304511e98aa8e0f3f569fb48ee8c48c70d57003,False,0
C56,RPM-2012-09-13:5082:1,RPM-2012-09-13,dovish,media,1,"la alternativa de aumentar la TPM se descarta en esta oportunidad, tomando en cuenta la evolución esperada del escenario externo y su eventual impacto sobre la economía chilena y la inflación","R4/R5. Defiende no aumentar ante inflación baja y riesgos externos, aunque también enumera presiones internas. D como oposición explícita al endurecimiento, sin baja o sesgo expansivo explícitos; confianza media, reservar.",anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,4040,642,6836f4f30951641a646f8e0b8b564be1a31e4abf12e5a86f6283bf1d8ffbfec1,False,0
C57,RPM-2011-09-15:4325:1,RPM-2011-09-15,neutral,alta,1,"con la información disponible, no se ve un sesgo en una u otra dirección",R4/R9. Rechaza tanto subir como bajar ahora y afirma expresamente ausencia de sesgo. No convertir el predominio creciente de riesgos externos en D si el propio actor no modifica su orientación neutral.,anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,4210,697,36d2d274936a2200631ebd3c085122e21176b7fd8d7cc397bd3408a74b0735fb,False,0
C58,RPM-2005-09-08:400:1,RPM-2005-09-08,hawkish,alta,1,"el Consejo del Banco Central acordó aumentar la Tasa de Interés de Política Monetaria en 25 puntos base, hasta 4% anual",R1/R6. Decisión institucional actual de alza de 25 pb y retiro de estímulo; se distingue de descripción histórica por tratarse del acuerdo de esta reunión.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,1999,314,44d21eab379726fbe02446ae84ba46146832a02d490833782dfc3420a73de2fa,False,0
C59,RPM-2012-02-14:4575:1,RPM-2012-02-14,neutral,alta,1,"se observaron expansiones en las economías emergentes en particular, como en Brasil, Israel, Tailandia e Indonesia","R3/R5. Presentación internacional de tasas, compras de bonos y liquidez. No recomienda una dirección monetaria doméstica.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,4585,749,f6777824cf979ef513ccf348971e51ed2158b84e2ca52ae80a7d4b8d79aa7b11,False,0
C60,RPM-2007-09-13:1462:1,RPM-2007-09-13,neutral,baja,1,"le parece crucial que la percepción de mayores riesgos se comunique en un cambio del sesgo, de un sesgo al alza a un sesgo neutral","R9. Da por hecho un alza por coherencia institucional, pero su recomendación propia se centra en quitar el sesgo al alza. Ambigüedad entre aceptación de la decisión y señal futura; no asumir que expectativa equivale a respaldo ni forzar D por menor endurecimiento. Duda excluida.",duda_no_incorporar,duda_no_incorporar,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,3740,641,2d875b17cead80eaa10a399bd2d1355849c7fbec3474e2054522823ce0a582b6,True,0
