unidad,k,topico_local,terminos_top5,terminos_top20,prevalencia
intervencion,14,intervencion_tema_12,trimestre | crecimiento | consumo | mes | sector,trimestre | crecimiento | consumo | mes | sector | meses | proyeccion | demanda | importaciones | inversion | datos | pib | construccion | empleo | segundo | ultimo | baja | primer | bienes | caida,0.19657820220346048
intervencion,14,intervencion_tema_13,suspende | reanudara 16 | reanudara | informa reanudara | 16 00,suspende | reanudara 16 | reanudara | informa reanudara | 16 00 | 00 | 16 | 13 | suspende 13 | informa | formularse | reiniciara | suspende deja | 30 | 13 30 | tratar | constancia ella | formularse 13 | tratar referente | referente opciones,0.015609871105603506
intervencion,14,intervencion_tema_14,cambio | tipo | tipo cambio | precio | tema,cambio | tipo | tipo cambio | precio | tema | real | inflacion | plazo | precios | podria | tasas | cambio real | estan | petroleo | efecto | comenta | tener | existe | eso | va,0.21745030219430836
actor_reunion,14,actor_reunion_tema_01,frente | apoyo | tpm | bastante | frente interno,frente | apoyo | tpm | bastante | frente interno | frente externo | atencion | siguen | riesgos | opcion | evolucion | debe | ultimo mes | agradeciendo apoyo | credito | ajuste | preocupacion | cifras | interno | noticias,0.08357039434045231
actor_reunion,14,actor_reunion_tema_02,presidencia | monetaria acordo | mensual politica | texto comunicado | texto,presidencia | monetaria acordo | mensual politica | texto comunicado | texto | acordo | asesor | acordo mantener | interes politica | marlys | pabst cortes | pabst | marlys pabst | secretario marlys | celebrada dia | siguiente | adopto siguiente | cortes | consejeros | anual ambito,0.04303409868361418
actor_reunion,14,actor_reunion_tema_03,euro | zona euro | japon | zona | america latina,euro | zona euro | japon | zona | america latina | latina | economias | america | produccion industrial | desarrolladas | economias emergentes | economias desarrolladas | emergentes | particularmente | europa | industrial | produccion | asia | china | brasil,0.07549994865960641
actor_reunion,14,actor_reunion_tema_04,construccion | importaciones | variacion | proyeccion | sector,construccion | importaciones | variacion | proyeccion | sector | trimestre | comercio | consumo | bienes | dato | colocaciones | informa | imacec | encuesta | sectores | explica | industria | presentacion | registro | correccion,0.08312775169390418
actor_reunion,14,actor_reunion_tema_05,consultas | deja constancia | constancia | da paso | deja,consultas | deja constancia | constancia | da paso | deja | presentacion | opciones politica | paso | habiendo | da | presentacion presentacion | da inicio | reiniciara | inicio politica | conformidad reglamento | rige sesiones | reglamento rige | sesiones | reglamento | conformidad,0.04015273811413366
actor_reunion,14,actor_reunion_tema_06,mensual politica | interes politica | monetaria acordo | acordo | investigacion,mensual politica | interes politica | monetaria acordo | acordo | investigacion | acta correspondiente | correspondiente politica | presidencia | economista senior | senior | economista | mensual | asesor | tasa interes | anual comunicado | 11 30 | adopta siguiente | merito anterior | 30 reune | ministro,0.04455661860577043
actor_reunion,14,actor_reunion_tema_07,ministro hacienda | ministro | hacienda | asesor ministro | asesor,ministro hacienda | ministro | hacienda | asesor ministro | asesor | hacienda comenta | ventas sector | ministerio | afirmacion | acerca | pregunta | velocidad | implica | entiende | sector | recaudacion | iva | dice | modo | razon,0.048918847351320856
actor_reunion,14,actor_reunion_tema_08,ipcx1 | costos laborales | 2006 | laborales | ipc,ipcx1 | costos laborales | 2006 | laborales | ipc | costos | tendencia | tendencia inflacionaria | crecimiento anual | laborales unitarios | inflacionaria | unitarios | petroleo | lado | incremento | inflacion ipc | medidas | 2005 | anual | tasas interes,0.07841345823455034
actor_reunion,14,actor_reunion_tema_09,2012 | doce meses | doce | encuesta | encuesta expectativas,2012 | doce meses | doce | encuesta | encuesta expectativas | previo | expectativas economicas | economicas | trimestre | mes previo | crecio | mensual | mes anterior | zona | actividad economica | economica | zona euro | economico | ubico | interanual,0.04284369099750239
actor_reunion,14,actor_reunion_tema_10,financiera | paises | politica financiera | division politica | bancos,financiera | paises | politica financiera | division politica | bancos | financiamiento | problemas | cuenta | europa | liquidez | minuta opciones | credito | deuda | sentido | estima | financiero | banca | minuta | sistema | conveniencia,0.11843352244187719
actor_reunion,14,actor_reunion_tema_11,tpm | division estudios | estudios | opcion | llevan,tpm | division estudios | estudios | opcion | llevan | gerencia | gerencia division | recientes | opcion mantener | internacionales | proponer | plano | china | capacidad | condiciones | desaceleracion | reciente | mantener tpm | consigna | llevan proponer,0.08113472325035306
actor_reunion,14,actor_reunion_tema_12,operaciones financieras | division operaciones | operaciones | financieras | financieras comenta,operaciones financieras | division operaciones | operaciones | financieras | financieras comenta | bancos | gerencia | gerencia division | depositos | 50 | bajar | estan | responde | fondos | dolares | depositos plazo | explica | tipo | 10 | estudios,0.058191828742849866
actor_reunion,14,actor_reunion_tema_13,cree | hoy | decision | va | eso,cree | hoy | decision | va | eso | lugar | sea | sesgo | 25 | tener | debe | existe | subir | quiere | futuro | seria | 25 puntos | decir | menos | tema,0.15963158555476967
actor_reunion,14,actor_reunion_tema_14,informa reanudara | monetaria mes | reanudara 16 | reanudara | consejeros proceder,informa reanudara | monetaria mes | reanudara 16 | reanudara | consejeros proceder | proceder votacion | solicita division | suspende 13 | estudios opciones | fecha politica | asistentes | proceder | suspende | opciones politica | nacional | exposicion | votacion | 16 00 | fija | 00,0.04249079332929572
