intervencion_id,archivo_origen,actor,etiqueta_v2,etiqueta_segun_criterio_propuesto,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,nota_ia_original,sha256_texto,n_caracteres_texto
RPM-2006-11-16:976:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,dovish,neutral,cambio_propuesto,alta,se ha vuelto más incierto,Descarta subir y bajar hoy y propone revisar un sesgo cuyo signo es incierto. No existe orientación D respaldada.,opciones del staff (nov-2006): mantención; evaluar eliminar sesgo al alza,d9b95a6fa8211c818c755caf9e69fcec4d3a665d5aa7b304603bde0732241cfb,6760
RPM-2006-11-16:984:1,data/etiquetas/etiquetas_r13_tanda09.csv,Jorge Desormeaux Jiménez,dovish,neutral,cambio_propuesto,alta,cualquiera sea su dirección,Vota mantener y busca preservar maniobra en cualquier dirección; desenfatizar el signo no es sostener una orientación expansiva.,vota mantener; desenfatizar signo de futuros movimientos en el comunicado,dd0cd936b781347da4fb3a0a6db54576a89a2eb3d45ca2e6d9f4657c08c0e857,3316
RPM-2007-03-15:1149:1,data/etiquetas/etiquetas_r13_tanda09.csv,Andrés Velasco Brañes,dovish,dovish,compatible,media,es de actuar de modo simétrico hacia arriba o por debajo del 3%,Respalda explícitamente mayor impulso monetario: D.,"argumento de simetría: estamos por debajo de la meta, apoya mayor impulso",308171d02622ce3ac9af8b4f976fb44bb77f52d196eb494e9e84352a46af1d05,1620
RPM-2007-08-09:1387:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,hawkish,hawkish,compatible,alta,un aumento de 25 puntos base y reforzar el sesgo de las últimas reuniones,Recomendación explícita de alza de 25 pb: H; preferir 25 frente a 50 no cambia el signo.,opciones del staff (ago-2007): +25 o +50; inclina +25 reforzando sesgo,30a93d18c0a66c955e389bae483824e54a49e90bc22671d87e34b9ac4a3e703d,9821
RPM-2007-08-09:1402:1,data/etiquetas/etiquetas_r13_tanda09.csv,Consejo del Banco Central de Chile,hawkish,hawkish,compatible,alta,"acordó aumentar la tasa de interés de política monetaria en 25 puntos base a 5,5% anual",Acuerdo institucional de alza de 25 pb y necesidad de aumentos posteriores: H.,acuerdo+comunicado: alza +25; necesario seguir aumentando la TPM,7ae60a412812f19fe6404342c741fda276da66eeac6794ca6ad289cb874230fa,2813
RPM-2007-09-13:1465:1,data/etiquetas/etiquetas_r13_tanda09.csv,Manuel Marfán Lewis,hawkish,hawkish,compatible,alta,vota por elevar la tasa de política en 25 puntos base,Voto explícito de alza de 25 pb: H; eliminar un sesgo futuro no revierte la acción actual.,vota alza +25; propone en paralelo eliminar el sesgo de futuros movimientos,4dfce8db232c51cc2ed2ee526e03f6a8ea99bd49401ca47deb57cd560b630bca,4337
RPM-2007-01-11:1054:1,data/etiquetas/etiquetas_r14_tanda10.csv,Jorge Desormeaux Jiménez,hawkish,dovish,cambio_propuesto,media,se requiere de una menor tasa de política monetaria para compensar la caída de la inflación proyectada y entregar un leve mayor estímulo real a la economía,"Aunque posterga el recorte, reconoce y prepara una reducción futura justificada. Bajo la regla propuesta, esperar para bajar luego puede ser D, no H por oponerse al recorte inmediato.",voto contra el recorte de enero-2007 (opciones -25/mantener): esperar más información,e6593470c951944344886fd880bae2bd172edc6bb13ff65205758f4b5815f295,3820
RPM-2007-02-08:1102:1,data/etiquetas/etiquetas_r14_tanda10.csv,Vittorio Corbo Lioi,hawkish,neutral,cambio_propuesto,alta,El Comunicado debiese ser en un lenguaje neutral parecido al de enero y que cualquier discusión con respecto al curso futuro se dejará para la Minuta.,Vota mantener y pide explícitamente lenguaje neutral sin curso futuro. Mantener frente a una alternativa de recorte no basta para H.,vota mantener contra recorte en feb-2007; comunicado neutral similar a enero,788bff67d6d3710b80738005c56586c8a15567ee4bc1229c7509364a56b7be6d,1996
RPM-2007-03-15:1161:1,data/etiquetas/etiquetas_r14_tanda10.csv,Andrés Velasco Brañes,dovish,dovish,compatible,alta,hay razones y espacio suficientes para justificar un recorte de 25 puntos base,Hace propios los argumentos a favor de la baja: D.,Ministro Velasco: argumentos del staff a favor de la baja le parecen abrumadores,0a35eeec62c2b0d28580990037b396f5ef184ee73f94e2d6556f2e5d6e6ce89e,5370
RPM-2007-04-12:1218:1,data/etiquetas/etiquetas_r14_tanda10.csv,Jorge Desormeaux Jiménez,hawkish,neutral,cambio_propuesto,media,cree que es prudente acumular mayores antecedentes acerca de la real persistencia de estas presiones de costos así como disponer de las proyecciones de más largo plazo,Vota mantener para esperar información. Los riesgos inflacionarios son diagnóstico y no formula alza o sesgo restrictivo propio; bajo la regla estricta queda N.,vota mantener contra recorte (abr-2007): riesgos al alza consolidándose; esperar al IPoM,92a71a51f9437de1434cc53dec75602454dcb770f106821027b16d906c1c4350,3784
RPM-2007-08-09:1394:1,data/etiquetas/etiquetas_r14_tanda10.csv,Andrés Velasco Brañes,hawkish,hawkish,compatible,alta,lo que le lleva a recomendar un incremento de 25 puntos base en la tasa de política monetaria,Respalda un alza moderada de 25 pb: H; la magnitud menor no vuelve D la acción.,"Velasco: +25 moderado evitando sobrerreacción; fenómeno de costos, no de demanda",00b3499782e2f3ad32d4f03b54f1c318565e85c7f3c613908243e68ccdd52ec5,5716
RPM-2007-09-13:1469:1,data/etiquetas/etiquetas_r14_tanda10.csv,Consejo del Banco Central de Chile,hawkish,hawkish,compatible,alta,"acordó aumentar la Tasa de Interés de Política Monetaria en 25 puntos base, a 5,75% anual",Acuerdo institucional unánime de alza de 25 pb: H.,acuerdo+comunicado: alza +25 unánime; atención a propagación de shocks,419bd715442d130da92b281100396fe60353f4090ece0c6b4edf410024fbf2ec,2548
RPM-2008-01-10:1629:1,data/etiquetas/etiquetas_r14_tanda10.csv,Pablo García Silva,hawkish,hawkish,compatible,alta,un incremento de 25 puntos base probablemente sea el adecuado para enfrentar el escenario de mayor inflación contenido en el IPoM,Evalúa solo alternativas de alza y descarta mantener: H.,opciones del staff (ene-2008): +25 o +50; descarta mantención como incongruente,d34b7b06594189710ea05ece731d7f8c4c750cd17a2654aedfda2eda30f4e1db,8172
RPM-2008-03-13:1737:2,data/etiquetas/etiquetas_r14_tanda10.csv,Sebastián Claro Edwards,hawkish,hawkish,compatible,alta,"mantiene su votación consistente en subir la Tasa de Política Monetaria a 6,50%","Voto explícito de alza de 25 pb: H, independientemente de la mantención mayoritaria.","voto alza +25 a 6,50% (contra la mantención mayoritaria de mar-2008)",03644ea6cefedf3ae099411bbb268fd9a4c37d31f72eb374f2a1d62102f27a5f,132
RPM-2008-05-08:1848:1,data/etiquetas/etiquetas_r14_tanda10.csv,José De Gregorio Rebeco,dovish,neutral,cambio_propuesto,alta,"los riesgos al alza y a la baja de la inflación son balanceados, y de ahí un sesgo neutral",Vota mantener y declara sesgo neutral. La opción de reaccionar si cambia el escenario no constituye orientación D ni H actual.,mantiene con opción de alza viva; destaca como mayor riesgo la persistencia inflacionaria,903cf3ba57463d91acdb35369ffa3361721d27fd2e3f82426dd593484a5d6fa6,4863
RPM-2008-06-10:1902:1,data/etiquetas/etiquetas_r14_tanda10.csv,Pablo García Silva,hawkish,hawkish,compatible,alta,lo que lleva a descartar la opción de mantener la Tasa de Política Monetaria en esta ocasión,Recomienda alza de 25 o 50 pb y descarta mantener: H.,opciones del staff (jun-2008): +25 o +50; shock alimentario-combustibles con consecuencias persistentes,742cd461757c6407ab4015c123bc060dc0343203def89b6202a9c332dd6cf43b,7969
RPM-2008-08-14:2044:1,data/etiquetas/etiquetas_r14_tanda10.csv,José De Gregorio Rebeco,hawkish,hawkish,compatible,alta,vota por un alza de 50 puntos base,Voto explícito de alza de 50 pb con sesgo al alza: H.,voto +50pb con sesgo al alza: expectativas sugieren necesidad de ajuste significativo,ed5c07b305ed183f8887bd9c45186bb0b08dad72e2705165f5021bffa2136562,4840
RPM-2008-12-11:2251:1,data/etiquetas/etiquetas_r14_tanda10.csv,Manuel Marfán Lewis,dovish,dovish,compatible,media,"su voto es por mantener la Tasa de Política Monetaria en esta ocasión, en su nivel actual","Aunque mantiene hoy, respalda iniciar reducciones cuando se alinee el tipo de cambio: D por orientación futura propia.",vota mantener pero declara que lo estándar apuntaría a bajas rápidas y bruscas (50pb+); espera alinear el TC,27a404c45beaee22c7bfdc0cba9640fd93b208f818546ba072f79237345cd13c,5411
