caso_id,intervencion_id,meeting_id,etiqueta,confianza,es_relevante,frase_justificante,nota,estado_revision,uso_propuesto,metodo,etiquetador,fecha_anotacion,version_codebook,ronda,tipo_referencia,n_caracteres,n_palabras,sha256_texto,flag_cotejo_fuente,incorporado_a_train,duplicado_de
E011,RPM-2005-07-12:309:2,RPM-2005-07-12,hawkish,alta,1,"En consecuencia, su voto es por aumentar la tasa de política monetaria en 25 pb.",R1. Voto explícito de alza; rechazar un ajuste mayor no convierte la normalización pausada en D.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,3313,511,61e1a96358dd36851878570574fa4362c2ca39e56f3a41813feae4d4a89fcf8d,False,0,
E012,RPM-2006-10-12:932:1,RPM-2006-10-12,neutral,baja,1,"Todo esto apunta a que el
período de mantención podría durar más que lo proyectado en el IPoM de septiembre.","R5/R9. Descarta subir ahora y cuestiona el sesgo al alza, pero conserva como referencia una mantención prolongada seguida de alzas y deja en evaluación el lenguaje. No forzar D por menor ritmo de endurecimiento ni H por relato del escenario. Duda excluida.",duda_no_incorporar,duda_no_incorporar,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,6781,1092,5e03614b79decbc7898fd21a0d7104190c04239922dd81b254b7ed77ea4b1012,True,0,
E013,RPM-2007-07-12:1352:1,RPM-2007-07-12,hawkish,alta,1,"por unanimidad acordó aumentar la tasa de interés de política monetaria en 25 puntos base a 5,25% anual","R1/R6. Acuerdo institucional actual de alza, con continuidad de retiro del estímulo. No es una recapitulación de otra reunión.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,2511,398,6e52d8527d614457f8109e1347a09bc8a0bcb1810460cc995084d6e7ebcf52a9,False,0,
E014,RPM-2012-01-12:4571:1,RPM-2012-01-12,dovish,alta,1,"expresa su inclinación, en esta oportunidad, por bajar la TPM en 25 puntos base, hasta 5%","R1. Prefiere y vota un recorte, aun admitiendo pausas futuras y menos precisión sobre la trayectoria.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,4594,758,a2af3180cebd218c756201d40c8b4807e6e56a9855d39b709d6c64930a1ddb5e,False,0,
E015,RPM-2011-12-13:4512:1,RPM-2011-12-13,dovish,media,1,"vota por mantener la TPM y agrega que, en principio, no se opondría a incluir un sesgo a la baja","R4/R7. Apertura explícita a sesgo a la baja y discusión de menor expansividad efectiva. La aceptación es atenuada, no una recomendación firme; confianza media y reserva.",anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,3970,642,c1a29b3726fa2ee4e5befab5a8e115e02770a8ee3ffba0f9a68cd963d985b945,False,0,
E016,RPM-2011-12-13:4508:1,RPM-2011-12-13,dovish,alta,1,"vota en esta oportunidad por mantener la tasa en 5,25% e introducir un sesgo a la baja",R1/R7. Respalda orientación expansiva futura pese a mantener hoy; explica por qué la estrechez financiera motiva el sesgo.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,5245,853,7b478669dc5143014e3c7ca6ad09eed1819ed0413ecda50ee23c9eaf10c01ba7,False,0,
E017,RPM-2014-02-18:6043:1,RPM-2014-02-18,dovish,alta,1,considera más prudente recomendar al Consejo bajar la TPM en 25 puntos base en esta oportunidad,R5/R1. Recorte de 25 pb y senda de bajas adicionales respaldada. Preferir esa magnitud a 50 pb no cambia la dirección.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,2715,470,da9a51aadf56a06b680a143e414a3069970e83822143c26d8e53b8fa05b8cd2d,False,0,
E018,RPM-2005-07-12:309:1,RPM-2005-07-12,hawkish,alta,1,"vota por subir la tasa de política monetaria en 25 puntos base, hasta 3,5% anual",R1. Elige alza de 25 pb; la discusión de no acelerar a 50 pb no es apoyo a una baja.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,2185,364,ee0bdf4c746dd36bce8ded009563903d1ff7445fa175bab8098983e5d7e64fe7,False,0,
E019,RPM-2012-01-12:4572:1,RPM-2012-01-12,dovish,alta,1,"acordó reducir la tasa de interés de política monetaria en 25 puntos base, hasta 5,0% anual","R1/R6. Acuerdo actual de recorte. El cierre del comunicado conserva flexibilidad, pero no anula la decisión D.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,1987,310,71961059bdbbbb1f1bdaab195d1f18673e3c91f87bf93c26c8a63962dad6956d,False,0,
E020,RPM-2008-12-11:2253:1,RPM-2008-12-11,dovish,alta,1,vota por mantener la Tasa de Política Monetaria y ser muy claro en un sesgo a la baja en el Comunicado,"R1/R7. Defiende anunciar un ciclo de relajamiento y aumento del impulso vía bajas futuras. Mantener hoy es una decisión de oportunidad, no neutralidad de la dirección respaldada.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,6197,1047,afe5d4ec1a541c1f2c16b9e35c5eb1d526ed4d82240c7590535dd54b8d857f09,False,0,
