caso_revision,intervencion_id,fecha,actor,etiqueta_ia,pred_adjudicada,estado_revision,postura_sugerida_agente,confianza_revision,sha256_texto,lectura,limite_y_accion,citas_agente,archivo_evidencia,nuevas_correcciones_aceptadas,cambios_aplicados
H04,RPM-2006-12-14:1019:1,2006-12-14,José De Gregorio Rebeco,hawkish,dovish,ambigua,,baja,2f5ef395bfbe86e303c4e9cb825e79aa506a782ae44cbe00d450bba917560efe,H se apoya en rechazar un recorte inmediato; D puede apoyarse en las presiones inflacionarias a la baja conectadas con un posible recorte posterior. El texto exige más información y no formula una recomendación definitiva de bajar. No alcanza con contar las menciones a reducción.,La fuente se interrumpe en «de confirmarse en los meses siguientes un escenario que requiera reducir la tasa de» y se une al voto de mantener. No se reconstruye la conclusión ausente. Fuente/cotejo y dominancia pendientes; ninguna de las dos etiquetas se declara inequívoca.,"[""le parece prematuro optar por una baja en la tasa de interés y para ello se deben acumular más antecedentes"", ""lo que podrá requerir una reducción de la tasa de política monetaria.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H05,RPM-2007-01-11:1057:1,2007-01-11,Consejo del Banco Central de Chile,dovish,hawkish,referencia_respaldada,dovish,alta,cc9bfccb91f601db8f42f9d079ed0a4dbb73f7a83d98c571588f6a8abb3c0d61,El acuerdo institucional reduce la TPM y justifica el recorte con baja inflación y holguras persistentes. D está respaldada por una decisión explícita; el H del modelo contradice el texto.,La normalización mencionada para precios del petróleo/cobre no es normalización alcista de la TPM. No se afirma que esa palabra haya causado el error sin medir contribuciones. Conservar D.,"[""acordó reducir la tasa de interés de política monetaria desde 5,25% a 5% anual.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H06,RPM-2007-12-13:1607:2,2007-12-13,Esteban Jadresic Marinovic,dovish,hawkish,referencia_respaldada,dovish,media,687a2bc08072a3fcf7d88f1f1bbf02ddbf6ad280c33291cd7b3b0ae217f55cfb,"Después de balancear riesgos, hace suya una preferencia por esperar antes de endurecer. No solo enumera escenarios ni hereda automáticamente la postura de otra persona: él mismo recomienda una política más parsimoniosa. D es defendible por esa conclusión.","Es una inclinación débil, no una propuesta de recorte. La fuente contiene una conexión llamativa entre mayores holguras y aumento de inflación que no se enmienda por intuición; la recomendación final sí es legible. Conservar D con cautela, no confianza absoluta.","[""tiende a recomendar en el margen una política más parsimoniosa y valorar, como dijo el señor Klaus Schmidt-Hebbel, la opción de esperar.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H07,RPM-2008-02-07:1672:1,2008-02-07,Klaus Schmidt-Hebbel Dunker,dovish,hawkish,referencia_respaldada,dovish,alta,a64750135fd70725fddca741da41d504cfc14fa9adb743e3f72cecd39c1f0e65,Recomienda explícitamente una política menos restrictiva y suprimir el sesgo. El análisis de expectativas altas no revoca esa conclusión. D está respaldada; la condición de staff no anula una recomendación de dirección.,No inferir D de los recortes extranjeros: la conclusión citada es doméstica. Mantener hoy no basta por sí solo; menos restrictiva y suprimir el sesgo son las señales relevantes. Conservar D.,"[""se sugiere adoptar una política levemente menos restrictiva en esta ocasión, manteniendo la Tasa de Política Monetaria en 6,25%, pero suprimiendo todo sesgo a dicha decisión.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H08,RPM-2008-02-07:1684:1,2008-02-07,José De Gregorio Rebeco,dovish,hawkish,referencia_cuestionable,hawkish,media,a17b0aca10114d90546604942bf347ca1a8d2dcc030f5bae8692e4dcfe73c877,"Propongo revisar D hacia H: aunque ahora pausa y admite menos ajustes que antes, conserva la posibilidad de nuevas alzas y se opone a retirar por completo el sesgo alcista. Bajo la lectura de postura completa, una pausa con ese respaldo futuro no es automáticamente D.","No es un H inequívoco: las noticias suavizan la trayectoria y él permite diluir la fuerza del sesgo. La preferencia H es moderada y debe discutirse frente a D relativo o N. A diferencia de Schmidt-Hebbel en otra intervención de la misma reunión, no propone suprimir todo sesgo; no mezclar ambas voces.","[""no se puede descartar que en los meses siguientes haya que volver a subir la Tasa de Política Monetaria, para asegurar el cumplimiento de la meta."", ""le parece también prematuro sacar completamente el sesgo""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H09,RPM-2008-03-13:1731:2,2008-03-13,Manuel Marfán Lewis,hawkish,dovish,referencia_respaldada,hawkish,alta,1a0920b92c9bd8d68e6e540132c1286e2ba32d5a67a72989f2b47e5a66df9079,Respalda elevar la TPM bajo una combinación de políticas y conserva el sesgo al alza. Mantiene hoy porque no se realiza la intervención cambiaria que considera necesaria. La condición no elimina la inclinación revelada; H tiene fundamento.,"No afirma que subir aisladamente hoy sea su opción. El propósito es capturar la postura del texto completo, no registrar un alza que no ocurrió. Conservar H; D omite la propuesta combinada y el sesgo expreso.","[""hay que elevar la tasa de política monetaria en conjunto con una intervención cambiaria"", ""manteniendo el sesgo al alza en el Comunicado.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H10,RPM-2009-10-13:2758:1,2009-10-13,José De Gregorio Rebeco,dovish,hawkish,referencia_respaldada,dovish,media,c0e423f046cd974d56a3ad27e8ae42d3cc11c29dfd7c579d0fbec41c665658a5,"Respalda mantener la tasa mínima y las medidas excepcionales, con preocupación por inflación demasiado baja. La posible salida futura de facilidades de liquidez se deja como materia de revisión y no constituye una recomendación explícita de alza de TPM. D es coherente con el compromiso de sostener el estímulo.","La salida de instrumentos extraordinarios merece atención, pero no se equipara automáticamente a subir la TPM. No inferir D únicamente del número 0,5. Conservar D con confianza media.","[""mantener la tasa de interés baja por varios trimestres."", ""vota por mantener la TPM en 0,5% y las medidas de política monetaria excepcionales adoptadas en julio.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H11,RPM-2010-10-14:3491:1,2010-10-14,José De Gregorio Rebeco,hawkish,dovish,referencia_respaldada,hawkish,alta,900925f48dd9136960187c8cb49ff360d79b19432a560d4602ba8691944c637e,"Modera el alza de 50 a 25 puntos, pero recomienda y vota por subir; también respalda continuar retirando estímulo. Un incremento menor sigue siendo H en esta tarea de dirección, no D por comparación con el aumento mayor descartado.",No confundir los relajamientos monetarios descritos para economías avanzadas con su voto doméstico. Conservar H; no se ha identificado causalmente qué parte del texto generó la salida D.,"[""su voto es por subir la TPM en 25 puntos base hasta 2,75%.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H12,RPM-2011-08-18:4272:1,2011-08-18,Felipe Larraín Bascuñán,dovish,hawkish,referencia_respaldada,dovish,alta,8a59b77d976cb142c0bec4f0b12f80a330543bea7e6f9b21785c5600853d47c0,"Pide mantener la tasa y quitar el sesgo restrictivo ante riesgos y moderación inflacionaria. Es una recomendación doméstica de menor restricción, no solo diagnóstico internacional. D está respaldada.","El compromiso de normalizar la política fiscal es otra variable, no una recomendación de subir la TPM. Esa distinción es textual; no prueba que el clasificador haya confundido ambos objetos. Conservar D.","[""estima que es necesario quitar el sesgo restrictivo a la política monetaria de los Comunicados anteriores""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H13,RPM-2011-08-18:4280:1,2011-08-18,Consejo del Banco Central de Chile,dovish,hawkish,referencia_cuestionable,neutral,media,52aaf99f0d4134abb6df0897725b8a119bb85ff2d1d3fcde7c610152e24b022d,"Propongo revisar D hacia N. Mantiene hoy y deja el movimiento futuro condicionado sin expresar signo; combina riesgos externos con dinamismo interno e inflación en torno a la meta. No hay en esta intervención una recomendación explícita de bajar, quitar sesgo o sostener una tasa mínima. Tampoco veo respaldo suficiente al H del modelo.","Ser comunicado institucional lo hace relevante, no necesariamente direccional. No heredar el pedido de quitar sesgo de Felipe Larraín: está en otra intervención. La cita IA de mantener, por sí sola, no fundamenta D. Propuesta todavía no aceptada ni aplicada.","[""acordó mantener la tasa de interés de política monetaria en 5,25% anual."", ""Cambios futuros en la TPM dependerán de las implicancias de las condiciones macroeconómicas internas y externas sobre las perspectivas inflacionarias.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H14,RPM-2015-09-15:7045:1,2015-09-15,Consejo del Banco Central de Chile,hawkish,dovish,referencia_respaldada,hawkish,alta,75c9fc890578e632345dcb041b37bdf6fe7a4b9c91c404390e962dc07d73383c,"Mantiene hoy, pero anuncia un retiro del estímulo necesario y próximo. H es consistente con la postura futura respaldada. Reducir el estímulo no significa reducir la tasa: son objetos distintos y direcciones monetarias opuestas.",Las noticias de actividad débil no eliminan esa conclusión. Conservar H. El contraste semántico no es una explicación medida de los coeficientes del modelo.,"[""la convergencia de la inflación a 3% en el horizonte de política requerirá reducir el elevado estímulo monetario actual."", ""se prevé que este proceso comenzará en el corto plazo.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H15,RPM-2015-12-17:7210:1,2015-12-17,Alberto Naudon Dell'Oro,hawkish,dovish,referencia_respaldada,hawkish,alta,c551e72b06b4131d77a2fb63c4eed7a3586d623d6e8aeb96c6bdfb01b5cd2e32,Recomienda subir ahora y mantener un sesgo al alza con mayor distancia entre incrementos. Que la política permanezca en terreno expansivo describe su nivel; la dirección propuesta es reducir esa expansividad. H está claramente respaldada.,El análisis de riesgos de crecimiento y de mantener como alternativa no revoca la preferencia explícita por subir. Tampoco se asigna N por ser staff. Conservar H.,"[""se inclina por recomendar un aumento de 25 puntos base en esta Reunión, para llevar la tasa de política a 3,5%.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
H16,RPM-2015-12-17:7212:1,2015-12-17,Pablo García Silva,hawkish,dovish,referencia_respaldada,hawkish,alta,610009da5e0beec504efad779d6541f625a5f68cc684ec30742d2517eb3c4a48,"Vota por subir, expresa una trayectoria posterior hacia 4% y solo quiere que la comunicación no prometa alzas demasiado frecuentes. Su preferencia por un sesgo comunicacional neutral no transforma en N o D el voto alcista de esta intervención.","Distinguir postura completa, cambio decidido y etiqueta del sesgo del comunicado. Aquí el alza explícita permite resolverlo bajo R1. Conservar H.","[""su voto es por aumentar la TPM en 25 puntos base, a 3,5%.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_2_hd_v1/resultados/casos_revisados.json,False,False
N01,RPM-2008-03-13:1737:2,2008-03-13,Sebastián Claro Edwards,hawkish,neutral,referencia_respaldada,hawkish,alta,03644ea6cefedf3ae099411bbb268fd9a4c37d31f72eb374f2a1d62102f27a5f,"Mantiene su voto, no la tasa: el voto consiste en subir. H está explícita en un texto de 132 caracteres; el neutral del modelo no se justifica por falta de dirección.",No se infiere la causa léxica del error; conservar H. No necesita completar el contexto de la intervención anterior para identificar la dirección.,"[""mantiene su votación consistente en subir la Tasa de Política Monetaria a 6,50%.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N02,RPM-2005-01-11:56:1,2005-01-11,Consejo del Banco Central de Chile,hawkish,neutral,referencia_respaldada,hawkish,alta,591961558fe7c47e22a2c22244663e91efe613558c6c773bbe5dc46076662998,Decisión institucional explícita de aumentar la TPM. Mantener los tramos de una línea de liquidez no revoca el alza de la tasa de política.,Conservar H. El texto es breve y no meramente administrativo; no confundir instrumentos distintos.,"[""Se acuerda aumentar la tasa de interés de política monetaria a 2,5% anual.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N03,RPM-2013-08-13:5748:1,2013-08-13,Enrique Marshall Rivera,neutral,dovish,referencia_respaldada,neutral,media,25899016a3d23f96f77d280dab69a7d057565b60e285b0d84f951fe1f982d34c,Solo registra mantener y conservar el tenor previo del comunicado. La intervención no explicita cuál era ese sesgo ni adopta una dirección futura.,Conservar N en la unidad disponible. No heredar una postura de comunicados o intervenciones que aquí no se reproducen; prudencia no equivale por sí sola a D.,"[""por razones de prudencia, se inclina finalmente por la opción de mantener la Tasa de Política Monetaria en su actual nivel de 5% anual""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N04,RPM-2013-03-14:5443:1,2013-03-14,Felipe Larraín Bascuñán,neutral,dovish,referencia_respaldada,neutral,alta,ed97bf4ef1d78590cc82158c29dad0fe1709e512e36af41316a0e7914c113308,"Propone mantener y observar incertidumbres internacionales. No pide estímulo adicional, recorte ni rechazo de una trayectoria alcista concreta.",Conservar N: riesgo externo y cautela no bastan para D sin conexión con una dirección doméstica.,"[""parece prudente mantener la tasa de política monetaria en su nivel actual, validando las expectativas del mercado.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N05,RPM-2005-01-11:46:1,2005-01-11,Luis Óscar Herrera Barriga,hawkish,neutral,ambigua,,baja,1dbc7fc0bfb32c5f697cd25179fa5aab769b35f99b708d6d11494253d2017f61,"Respalda adelantar un ajuste, pero el fragmento autónomo no dice qué tasa, desde qué nivel ni en qué dirección. H es plausible si el ajuste referido es un alza; esa premisa no se explicita aquí.",No trasladar automáticamente el contenido de otra intervención por la referencia a este tema. N conservadora es posible si no se resuelve el antecedente; no se cambia la etiqueta.,"[""apoyan la posibilidad de poder adelantar en algo ese ajuste y dejar la pausa para el período posterior.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N06,RPM-2014-07-15:6325:1,2014-07-15,Rodrigo Vergara Montes,dovish,neutral,referencia_respaldada,dovish,alta,6f9af5b2d69edcb763c7de0ce0021f5162d9ad9016829c4fd0dc3eb251aafec3,"Hace suyo mantener el sesgo negativo de política, no solo describe una cifra económica. D se apoya en ese respaldo y en la debilidad de actividad/demanda.",Conservar D. Mantener un mensaje direccional no significa una postura neutral ni un recorte ejecutado hoy.,"[""se ha incorporado un sesgo negativo en la política monetaria. En su opinión, hay que mantener este mensaje en tanto no se tenga certeza de lo contrario.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N07,RPM-2005-01-11:39:1,2005-01-11,Rodrigo Valdés Pulido,neutral,hawkish,referencia_cuestionable,hawkish,media,1287aaa3350ee8c3ba5cab088ac2a8af0e7c32d26319de0a9d61e6d50b5b4d4a,"Propongo revisar N hacia H: evalúa negativamente la señal de pausar y considera acotados los efectos de un alza de 25 puntos. Hay respaldo argumentado a no retrasar la normalización, no solo un menú descriptivo.","La preferencia es implícita y táctica, no un voto. Requiere confirmación humana; no se convierte en acierto nuevo del modelo por coincidir con su H.","[""una eventual mantención de la tasa de política monetaria podría reafirmar una percepción errónea de que se persigue una normalización más lenta del estímulo monetario""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N08,RPM-2007-03-15:1149:1,2007-03-15,Andrés Velasco Brañes,dovish,neutral,referencia_respaldada,dovish,media,308171d02622ce3ac9af8b4f976fb44bb77f52d196eb494e9e84352a46af1d05,"Contrasta el entusiasmo por subir si la inflación estuviera sobre la meta con la situación real por debajo y reclama simetría. Es un argumento a favor de responder al déficit inflacionario, coherente con D; las alzas son parte del contrafactual.","La inferencia es argumentativa, no un voto explícito de recorte. Conservar D con confianza media; la frase sobre simetría aislada no bastaría sin el texto completo.","[""se está en un escenario que es absolutamente simétrico, y que técnicamente estamos por debajo.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N09,RPM-2015-12-17:7207:1,2015-12-17,Alberto Naudon Dell'Oro,hawkish,neutral,ambigua,,baja,01c8f683fdaf4b48d6d93dfb6cf51716a2812a1d7fb47d031f0d118a40b5fe47,"Respalda un nivel de llegada, pero esta intervención no explicita la tasa de partida ni dice subir o bajar. H requiere conocer que llevarla a 3,5% es un aumento; ese dato no está en la unidad.","No importar el alza explícita de otra intervención de Naudon en la misma reunión. Hay postura sobre un nivel, pero la dirección no se resuelve con el número aislado. No corregir automáticamente a N.","[""incluso en ese escenario parece razonable llevar la tasa de política a 3,5%, tal como se recomienda en la minuta de opciones.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N10,RPM-2012-04-17:4790:2,2012-04-17,Consejo del Banco Central de Chile,neutral,dovish,referencia_respaldada,neutral,alta,194c8e9ad23c61e8cf3d057fb1527e0f407a1df0e01667d568e018aeb0b3c64c,"Acuerda mantener y condiciona movimientos futuros sin signo. El diagnóstico combina debilidad externa, actividad local e inflación; no define un sesgo doméstico único.","Conservar N. Ser un acuerdo institucional lo hace relevante, no necesariamente H o D.","[""Cambios futuros en la TPM dependerán de las implicancias de las condiciones macroeconómicas internas y externas sobre las perspectivas inflacionarias.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N11,RPM-2007-02-08:1102:1,2007-02-08,Vittorio Corbo Lioi,hawkish,neutral,ambigua,,baja,788bff67d6d3710b80738005c56586c8a15567ee4bc1229c7509364a56b7be6d,"La preocupación inflacionaria dominante puede sostener H, pero la acción es mantener y deja el curso futuro para otra discusión. La nota IA dice mantener contra recorte, aunque esa alternativa no aparece expresamente en el texto.","No usar la nota del anotador como evidencia que el texto no proporciona. Distinguir riesgo inflacionario, postura monetaria y lenguaje del comunicado; N es alternativa conservadora, no corrección adjudicada.","[""aunque con un aumento en el riesgo inflacionario hacen que la opción de política de mantener la tasa de política monetaria sea la más apropiada."", ""El Comunicado debiese ser en un lenguaje neutral parecido al de enero""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
N12,RPM-2015-10-15:7097:1,2015-10-15,Rodrigo Vergara Montes,neutral,dovish,referencia_respaldada,neutral,media,f1bdce6212c1c3f4046b06847eb1c289db1609535221fd2e7be47c531ae7cfab,"Valora positivamente la expansividad y explica sus efectos, pero deja abierta la evaluación de su magnitud. No recomienda mantener ese grado, ampliarlo ni reducirlo; el diagnóstico de nivel no fija dirección.","Conservar N con cautela: elogiar el estímulo puede sugerir una inclinación D débil, pero no hay compromiso como sostener una tasa mínima por un plazo. La decisión de opciones aún no se desarrolla en esta intervención.","[""se deberá evaluar si su magnitud es la adecuada en el contexto actual.""]",data/auditoria/revision_errores_adjudicada_v1/tanda_3_neutralidad_v1/resultados/casos_revisados.json,False,False
