intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2005-05-12:277:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,hawkish,1,hawkish,1,hawkish,1,compatible,alta,su voto también es por subir la TPM en 25 puntos base en esta ocasión,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,e1884da6cb48a3d25be551f60cd98e20a2c28c8867e2790eaa00ad103cf38ba9,2999
RPM-2005-05-12:278:1,data/etiquetas/etiquetas_escalado_r8.csv,Consejo del Banco Central de Chile,hawkish,1,hawkish,1,hawkish,1,compatible,alta,"Se acuerda aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3,25% anual",Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,f2b737862f5f0998d932177799753c6c0059bd9ef913553b61d6f934ab779673,1950
RPM-2005-06-09:279:1,data/etiquetas/etiquetas_escalado_r8.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: encabezado de acta: lista de asistentes y fecha.,d70ec986cee087001a504698e11a27cdbab864b4d12d31518a430d8224f4339d,1775
RPM-2005-06-09:280:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: fijacion de fecha de sesion futura (logistica).,8a5d7215982f8be7e1d4f9d23921a360b712dd50d04f0c5ab950dfdb45761bed,123
RPM-2005-06-09:280:2,data/etiquetas/etiquetas_escalado_r8.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"Todo esto lleva a esperar un crecimiento del PIB del orden de 5,9% para el segundo trimestre",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,8efa97f84a8f46a2ca2a6a50f354e7bbcb05596fa621b21c26a7eee00cc9c38e,30148
RPM-2005-06-09:280:3,data/etiquetas/etiquetas_escalado_r8.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,el Fondo Monetario había efectuado una revisión a la baja de su proyección de tasa,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,7e98c586722f79b780c056488b88b57b53bb71a8a4aa611d9dcd32619217ef7e,167
RPM-2005-06-09:280:4,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,1,neutral,1,neutral,1,compatible,alta,"Europa se ve más débil, y en menor medida, en América Latina",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,13d1fa7273625821fa7ee8285656312c27d50b494e5a30430a2bd060ebf31064,409
RPM-2005-06-09:280:5,data/etiquetas/etiquetas_escalado_r8.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,alta,las razones del alza y posterior de las tasas de interés de los Pagarés Descontables del Banco Central,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,8a5f13264f4769e4b86158a5bf7869d1f59950c7f3ec3dcc1cd58dda9f2ad0a6,200
RPM-2005-06-09:280:6,data/etiquetas/etiquetas_escalado_r8.csv,Luis Óscar Herrera Barriga,neutral,1,neutral,1,neutral,1,compatible,alta,la evolución de estas tasas refleja los cambios en la estructura de remuneración de los depósitos en moneda nacional que sirven para constituir reserva técnica,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,3f4e026d58a7a645f0d31a770feb64d2a5ef62560032753c7eebd450bcaf4c63,846
RPM-2005-06-09:280:7,data/etiquetas/etiquetas_escalado_r8.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,alta,si esto no tiene que ver con el episodio de falta de liquidez,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,43df5e10bddff77426662032f44df319300109cbd4498becf67185be85894129,100
RPM-2005-06-09:280:8,data/etiquetas/etiquetas_escalado_r8.csv,Luis Óscar Herrera Barriga,neutral,1,neutral,1,neutral,1,compatible,alta,Esta situación distorsiona la lectura que se puede hacer a partir de este instrumento acerca de las expectativas sobre la política monetaria,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,92f2eb1416ecb7b33350dd99955ad56a9e065852f2be62d08fda30c345f240db,496
RPM-2005-06-09:281:1,data/etiquetas/etiquetas_escalado_r8.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,es deseable que esta compensación se mueva en esa forma,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,ec007ce78d24ca960852d00d6aa91b4115300cc4b9362a0ce163e352d335d82c,1164
RPM-2005-06-09:281:2,data/etiquetas/etiquetas_escalado_r8.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,"La venta corta, por ejemplo, que podrían hacer las Administradoras de Fondos de Pensiones de papeles del Banco Central de Chile, no pueden realizarla, lo que dificulta los arbitrajes",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,6d0de67a529eb2aafc71a06fd7ad0832809a455dbbbfd84226d181adfcb166b7,341
RPM-2005-06-09:281:3,data/etiquetas/etiquetas_escalado_r8.csv,Luis Óscar Herrera Barriga,neutral,1,neutral,1,neutral,1,compatible,alta,algunos inversionistas parecen privilegiar el alto retorno nominal de corto plazo asociado a variaciones puntuales de la UF,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,7389865a2986a8b36a330c735b4e11c9012358440b137f6acfd3f7844b085811,952
RPM-2005-06-09:281:4,data/etiquetas/etiquetas_escalado_r8.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,"no le convence ese razonamiento, porque las ganancias de capital que hay en una pequeña fluctuación de la tasa de interés en un bono a diez años",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,0800240be34765cb90347e74db1d90a3a64187d1384c0cfabe6eff38a81b9463,302
RPM-2005-06-09:282:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,1,neutral,1,neutral,1,compatible,alta,cuando ya se tuvo claro que no era ruido y era una cosa que seguía para abajo se bajó un punto la tasa usando esa información,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,2057a1d3613e695ba8b222b41723af769e1b17b15dabc5eb39a877bbe3b14f75,711
RPM-2005-06-09:283:1,data/etiquetas/etiquetas_escalado_r8.csv,Esteban Jadresic Marinovic,neutral,1,neutral,1,neutral,1,compatible,alta,en el caso de Chile no se observa mas volatilidad que lo que se observa en los Estados Unidos de América,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,2e6764b654003db4b0521cca6a24e80e4705b73afe35dd39acf40756c2b997fa,583
RPM-2005-06-09:283:2,data/etiquetas/etiquetas_escalado_r8.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"La inflación anual del IPC se ubicaría en 3,1% a fines de año, valor 0,3pp. mayor que el del Informe de Política Monetaria",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,ee0e9decb600bbfa64390e683c807c8200925a7b3597eb0dd9c6016ef54e8b82,3525
RPM-2005-06-09:284:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: ofrecimiento de la palabra.,e7331cd5bc9fa8bf06cbaae8009b97d213aba99b42509fe311a989a6cfaa3fea,68
RPM-2005-06-09:285:1,data/etiquetas/etiquetas_escalado_r8.csv,Esteban Jadresic Marinovic,neutral,1,neutral,1,neutral,1,compatible,media,el balance de riesgos respecto a esas proyecciones es de precios más altos,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,8c8b3bbb532b951b031f2bf964716ef1cfc99b3625d7008973f438f05d5fd0a5,566
RPM-2005-06-09:285:2,data/etiquetas/etiquetas_escalado_r8.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,"la información es en todo caso muy parecida, la única diferencia es una décima de crecimiento",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,ec64176d95cd981a709dd320601276e2c03e6af55bedffedde249d82419c7413,433
RPM-2005-06-09:286:1,data/etiquetas/etiquetas_escalado_r8.csv,Ricardo Vicuña Poblete,neutral,1,neutral,1,neutral,1,compatible,alta,existe una serie de cambios que todavía pueden suceder,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,9d140a57f30926f86c391bc52670db3eefaf1892ce9db5a48960b25dbca6fa6d,667
RPM-2005-06-09:286:2,data/etiquetas/etiquetas_escalado_r8.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,las cifras están confirmando que el escenario central era el correcto,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,a9bd8394e7747918b9323c115d11abae0a98dce85b4363b88c3e6018e15de4a4,998
RPM-2005-06-09:287:1,data/etiquetas/etiquetas_escalado_r8.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"la modificación al alza tiene que ver con algunos sectores que llevan al cambio de los precios, principalmente, en el sector agrícola",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,26c079414b28aaac4134dd304e340474f49f6d67996c22d46ec5e6388f76841e,561
RPM-2005-06-09:288:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: suspension de la sesion (logistica).,8429f23f4c6a0235baf472dc7cb00815ca02a6d389acdc9416a310bd580a8910,128
RPM-2005-06-09:288:2,data/etiquetas/etiquetas_escalado_r8.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: reanudacion de sesion (logistica).,6fa440fc63ec38a64c9ae8bc60365e5efbf990f3fdfada7d5db65d8ab78291d0,219
RPM-2005-06-09:288:3,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: transito procedimental: solicitud de presentacion de opciones.,714046c20fa1f22fc26849d617a5313a85f02d0cf7a74075ddf2eefe3b928ab5,158
RPM-2005-06-09:288:4,data/etiquetas/etiquetas_escalado_r8.csv,Rodrigo Valdés Pulido,neutral,1,hawkish,1,hawkish,1,compatible,alta,las opciones que parecen más plausibles para esta reunión son aumentar la tasa de política monetaria en 25 puntos base o mantenerla en su nivel actual,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,c0fc40215eb53ad8b53512e4954a3ba196f9d33dcdbbeed9de0b2832a59eca42,5347
RPM-2005-06-09:288:5,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: ofrecimiento de la palabra.,b9689b5eaed084a69e2937a5673f03534bc86d22595fecb3f938877851ccaf48,69
RPM-2005-06-09:288:6,data/etiquetas/etiquetas_escalado_r8.csv,Klaus Schmidt-Hebbel Dunker,hawkish,1,hawkish,1,hawkish,1,compatible,alta,que la opción de alza de 25 puntos base domina inambiguamente a la mantención de la tasa de política monetaria en esta oportunidad,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,131edce1cb1322745f64122f85a0b3a3e85997a77e14dee45d1b0d3c7851973a,1943
RPM-2005-06-09:288:7,data/etiquetas/etiquetas_escalado_r8.csv,Esteban Jadresic Marinovic,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,alta,"dentro del marco general de normalización pausada de la tasa de interés de política monetaria, una mantención de tasas de interés resulta más coherente",Prefiere mantener hoy dentro de una normalización al alza que respalda. La acción mensual no convierte la trayectoria en D: H.,4cc730c916ddebd4e1566fa60c5511dcb32b9b3cad3f04188b943835db830989,1148
RPM-2005-06-09:289:1,data/etiquetas/etiquetas_escalado_r8.csv,Nicolás Eyzaguirre Guzmán,dovish,1,dovish,1,neutral,1,cambio_etiqueta,media,hacerlo tres veces consecutivas generaría una señal algo extraña,"Cuestiona una tercera alza y una aceleración de la secuencia, pero no adopta una expansión ni resuelve una dirección futura propia: N, no D.",43513b3429c3a4b3bed3b2c283afc895559f2ac76c66ecba44a2690a1ce6d846,1518
RPM-2005-06-09:290:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: transito procedimental: apertura de la votacion.,7746c4229ec549ed0ceccd73c48f5b2472b250ef74dbd7fcad1edf7f8d8698b5,114
RPM-2005-06-09:291:1,data/etiquetas/etiquetas_escalado_r8.csv,Manuel Marfán Lewis,dovish,1,hawkish,1,hawkish,1,compatible,alta,"vota por mantener la tasa de política monetaria en 3,25% anual",Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,05cd1557b4e7a3fd9c5aa3a53eb9b65be7c5948192145ef8760b2de523986c23,1300
RPM-2005-06-09:292:1,data/etiquetas/etiquetas_escalado_r8.csv,Jorge Desormeaux Jiménez,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,alta,"nuestra estrategia de ajuste gradual de la política monetaria, la cual sigue siendo la mejor opción",Respalda continuar el ajuste gradual y usa la pausa solo para preservar ese ritmo: H.,eba8640540496ff989d43a97d8d4bebeac4fd719312e42eabe1705bf4996a402,2168
RPM-2005-06-09:292:2,data/etiquetas/etiquetas_escalado_r8.csv,María Elena Ovalle Molina,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,media,una medida en este sentido es consistente con el ritmo de normalización adoptado,La mantención mensual se inserta expresamente en el ritmo de normalización adoptado: orientación H.,57e13afa62a59634930dc3c2e10239984b9543df08558cbd2e7dea9c2ec17787,2205
RPM-2005-06-09:293:1,data/etiquetas/etiquetas_escalado_r8.csv,José De Gregorio Rebeco,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,alta,no hay razones para desviarnos de la estrategia de retiro gradual y pausado del estímulo monetario,Respalda explícitamente continuar retirando estímulo y pausa solo para conservar la gradualidad: H.,371f000f657eaa9ea91469f167b7c3ce636294e2cce6718badcb3e38db207342,2940
RPM-2005-06-09:294:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,alta,requiere el retiro paulatino del excesivo estímulo monetario,Considera necesario retirar estímulo y mantiene hoy para continuar una normalización pausada: H.,eae5fbddb20a792cc7410b6bb460b6d6f968c88fdb0a7c73aa7ddd9f963d6454,1195
RPM-2005-06-09:294:2,data/etiquetas/etiquetas_escalado_r8.csv,Consejo del Banco Central de Chile,hawkish,1,hawkish,1,hawkish,1,compatible,media,La decisión de mantener la Tasa de Política Monetaria en esta oportunidad no modifica la expectativa de reducción pausada del impulso monetario,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,955d4adcde5d622612426a68fb3328513aa5646d496f2db046c136c77a9d1320,1778
RPM-2005-06-09:295:1,data/etiquetas/etiquetas_escalado_r8.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: aprobacion del comunicado y cierre de la sesion (logistica).,5d617d03fc0f25a3fd46b493b834ed1d47826f42fd9f0d9681e3b90a9e780a8c,83
RPM-2005-07-12:296:1,data/etiquetas/etiquetas_escalado_r8.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: encabezado de acta: lista de asistentes y fecha.,d243c198dab72f6cd45de9df93143244ea50cba2ba6c724331fede0f6bab783f,1446
RPM-2005-07-12:297:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: fijacion de fecha de sesion futura (logistica).,0336f9b2f322261fa3d0ce78473cdf27a49be5d3eda7e249ccff57482a7b2301,119
