intervencion_id,etiqueta_recibida,etiqueta_adjudicada_v3,es_relevante_adjudicada_v3,confianza_adjudicacion,cita_literal_adjudicacion,fundamento_adjudicacion,resultado_revision,estado_revision
RPM-2015-02-12:6613:1,neutral,neutral,1,alta,el escenario consignado en el último IPoM no ha variado mayormente,"Ratificada tras lectura de la unidad completa: El Presidente resume riesgos y noticias positivas del escenario internacional (Ucrania, commodities, China, EE.UU., Reserva Federal) señalando que el escenario del IPoM no ha variado mayormente, sin adoptar ni recomendar dirección de tasa. Diagnóstico de contexto externo sin conexión resolutiva con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-03-13:1689:2,neutral,neutral,1,alta,"los agentes han incorporado recortes de la Tasa de Política Monetaria más agresivos en Estados Unidos de América, en línea con el panorama de menor actividad y con la persistencia del problema de liquidez en los mercados monetarios.","Ratificada tras lectura de la unidad completa: La unidad reporta contexto macroeconómico y financiero internacional (deterioro global, recesión en EE.UU., acciones de bancos centrales, commodities, actividad por regiones y expectativas de tasas), sin adoptar ni recomendar dirección para la TPM en Chile. Diagnóstico externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2012-07-12:4904:1,neutral,neutral,1,alta,"En lo referente a las monedas de economías emergentes, señala que tendieron a apreciarse durante el último mes.","Ratificada tras lectura de la unidad completa: La unidad reporta flujos de capitales, tasas de interés internacionales, monedas emergentes y decisión de tasa del Banco Central Europeo, sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2013-10-17:5824:1,neutral,neutral,1,media,"estima que resulta clave visualizar si ha cambiado el panorama de las tasas de interés externas, así como la duración del mismo.","Ratificada tras lectura de la unidad completa: El Consejero analiza la postergación del retiro del estímulo de la FED, los flujos de capitales hacia emergentes y sus implicancias, concluyendo que resulta clave visualizar si cambió el panorama de tasas externas, sin adoptar ni recomendar dirección de tasa para Chile. Análisis externo sin resolución direccional doméstica: Neutral.",ratificada_v3,cerrado
RPM-2008-12-11:2233:1,neutral,neutral,1,media,tiene la impresión que no existe algo que haga pensar que es necesario una política monetaria contractiva y a su juicio le parece muy pronto para decidir una política monetaria expansiva,"Ratificada tras lectura de la unidad completa: El Consejero plantea consultas técnicas sobre la evidencia en el margen y el escenario del tipo de cambio, y descarta tanto una política contractiva como una expansiva por prematura, aunque reconoce que la tasa está muy alejada de la neutral. Opciones balanceadas sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2012-11-13:5210:1,neutral,neutral,1,alta,estos antecedentes llevan a proponer en carácter de única opción para la presente Reunión la de mantener la Tasa de Política Monetaria en 5% anual y no innovar en materia de comunicación,"Ratificada tras lectura de la unidad completa: El Gerente propone como única opción mantener la TPM en 5%, descartando la reducción por no haberse incrementado las probabilidades de escenarios externos negativos y por el dinamismo de la demanda interna. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2007-02-08:1090:6,hawkish,neutral,1,alta,"esta mayor probabilidad de un escenario más inflacionario, considerando además que el nivel actual de la tasa de política monetaria es 25 puntos base más bajo que en enero, justifica aún más intensamente que en enero, elegir la opción de mantener de tasa.",Elige mantener la TPM. El diagnóstico de mayor inflación no permite convertir la mantención en H sin restricción o sesgo al alza explícito.,corregida_v3,cerrado
RPM-2007-10-11:1511:1,neutral,neutral,1,alta,"recomienda en el margen, mantener la tasa tomando en cuenta que el Banco Central de Chile lleva tres meses consecutivos de aumento de tasas","Ratificada tras lectura de la unidad completa: El Gerente recomienda mantener la tasa en el margen, dado que existen argumentos en ambos sentidos y noticias ambiguas, tras tres meses consecutivos de alzas. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-08-14:2043:1,hawkish,hawkish,1,alta,"su voto es por un alza de 50 puntos base de la Tasa de Política Monetaria, para quedar en 7,75%.","Ratificada tras lectura de la unidad completa: El Vicepresidente vota por un alza de 50 puntos base de la TPM hasta 7,75%, argumentando un diagnóstico de mayor propagación inflacionaria y señalando que serán necesarios nuevos incrementos para asegurar la convergencia de la inflación al 3%. Acción hawkish explícita (subir tasa con sesgo al alza) según Codebook v3.",ratificada_v3,cerrado
RPM-2015-08-13:6920:1,neutral,neutral,1,alta,"las proyecciones de actividad para el mundo se han reducido en dos décimas para el año 2015 y en una décima para 2016, pero con énfasis en China y en las economías latinoamericanas que son socios comerciales relevantes para Chile.","Ratificada tras lectura de la unidad completa: La unidad reporta contexto macroeconómico y financiero internacional (ajuste a la baja de commodities, volatilidad financiera, política monetaria de la Reserva Federal, actividad global, inflación y política monetaria regional), sin adoptar ni recomendar dirección para la TPM en Chile. Diagnóstico externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2010-07-15:3265:1,neutral,neutral,1,media,"este fenómeno debiera ser transitorio, ya que las tasas o, al menos el spread con respecto a la swap promedio cámara, debieran bajar.","Ratificada tras lectura de la unidad completa: El Gerente explica el alza transitoria de las tasas de depósitos a plazo producto de operaciones interbancarias, sin adoptar ni recomendar dirección de tasa de política. Diagnóstico de mercado monetario sin conexión resolutiva con orientación de tasa: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2012-12-13:5234:1,neutral,neutral,1,media,"si bien es correcto que efectúen política monetaria expansiva para fomentar la actividad, en la práctica no lo están logrando y sí están generando efectos cambiarios y sobre la actividad de economías emergentes y otras, como la australiana.","Ratificada tras lectura de la unidad completa: El Presidente reporta la crítica del Presidente del Banco de la Reserva de Australia a la política monetaria expansiva de los países desarrollados y sus efectos cambiarios, sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2011-11-15:4445:1,neutral,neutral,1,alta,"para esta Reunión, el mercado, representado por la Encuesta de Expectativas Económicas, la Encuesta a Operadores Financieros y Bloomberg, espera una mantención de la TPM","Ratificada tras lectura de la unidad completa: La unidad reporta expectativas de inflación, curva forward y expectativas de mercado sobre la TPM, incluyendo la expectativa mayoritaria de mantención para la reunión, sin adoptar ni recomendar dirección propia. Expectativas ajenas sin sesgo direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2012-01-12:4558:1,neutral,neutral,1,media,hace notar que la misma tasa de política monetaria conlleva una política monetaria menos expansiva.,"Ratificada tras lectura de la unidad completa: El Vicepresidente comenta la mecánica de la indexación salarial, la validez del escenario base con posible desaceleración algo más acentuada y el aumento del spread de colocaciones respecto de la TPM, señalando que la misma tasa conlleva una política menos expansiva, sin recomendar dirección concreta. Diagnóstico técnico sin resolución direccional: Neutral.",ratificada_v3,cerrado
RPM-2013-05-16:5566:3,neutral,neutral,1,alta,el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en 5% anual.,"Ratificada tras lectura de la unidad completa: El Acuerdo mantiene la TPM en 5% anual sin sesgo direccional explícito, en un contexto de desaceleración de la actividad y demanda interna, inflación cercana a 1% y expectativas ancladas a la meta. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2011-10-13:4344:1,neutral,neutral,1,alta,"continúan las pausas en los procesos de normalización de la política monetaria en las economías emergentes, que solo India acordó un aumento de 25 puntos base y que Indonesia e Israel la recortaron en igual magnitud.","Ratificada tras lectura de la unidad completa: La unidad reporta medidas del Banco Central Europeo, movimientos de tasas de política monetaria en economías emergentes y desarrolladas, paridades e indicadores de actividad global, sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2015-05-14:6800:2,neutral,neutral,1,alta,"manifiesta coincidir con la recomendación de la Gerencia de División Estudios, razón por la que su voto es por mantener la TPM en 3%, así como el sesgo neutral en el Comunicado.","Ratificada tras lectura de la unidad completa: El Consejero vota por mantener la TPM en 3% y el sesgo neutral, señalando que los datos están en línea con el escenario del IPoM y que se reduce la probabilidad de escenarios adversos, aunque plantea dudas sobre las holguras de capacidad y la trayectoria de normalización. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2010-04-15:3068:1,neutral,neutral,1,alta,el Consejo señaló que las proyecciones incorporaban el supuesto de que la política monetaria continuaría siendo muy estimulativa en los próximos trimestres y que hacia fines del horizonte de proyección la TPM convergería a un nivel similar al que arrojaba la Encuesta de Expectativas Económicas de,"Ratificada tras lectura de la unidad completa: El Gerente reporta los supuestos de política monetaria del IPoM, antecedentes externos e internos y condiciones crediticias, sin adoptar ni recomendar dirección propia de tasa. Diagnóstico y recuento de supuestos sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2015-08-13:6961:1,neutral,neutral,1,media,"la comunicación de nuestra sensación de incomodidad frente a una inflación alta debe mantenerse. Comparte que el riesgo de desanclaje es acotado; no obstante, la confianza en el Banco Central y en su esquema de política tiene definiciones que no corresponde relajar repentinamente.","Ratificada tras lectura de la unidad completa: El Vicepresidente plantea consideraciones sobre la comunicación del Banco frente a una inflación alta y el riesgo de desanclaje acotado, sin adoptar ni recomendar dirección concreta de tasa. Comentario de comunicación sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2013-04-11:5514:3,neutral,neutral,1,alta,el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en 5% anual.,"Ratificada tras lectura de la unidad completa: El Acuerdo mantiene la TPM en 5% anual sin sesgo direccional explícito, en un contexto de inflación entre 1% y 2% y expectativas ancladas a la meta, reafirmando flexibilidad y condicionando cambios futuros a las perspectivas inflacionarias. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2013-06-13:5603:1,neutral,neutral,1,alta,"las distintas expectativas de mercado consideran una rebaja de la TPM en los próximos meses, pero para esta Reunión, la mayoría de los encuestados se inclina por que se mantendrá la tasa rectora.","Ratificada tras lectura de la unidad completa: La unidad es un extenso diagnóstico macro (actividad, demanda, mercado laboral, crédito, inversión, inflación y expectativas) que reporta expectativas de mercado de rebaja futura y mantención en la reunión, sin adoptar ni recomendar dirección propia. Diagnóstico y expectativas ajenas sin sesgo direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2013-12-12:5933:1,neutral,neutral,1,alta,tanto la encuesta Bloomberg como la EOF y la EEE reflejan que una fracción relevante estima que se mantendrá la tasa rectora.,"Ratificada tras lectura de la unidad completa: La unidad es un extenso diagnóstico macro (colocaciones, edificación, expectativas, consumo, comercio exterior, inflación y tasas de interés) que reporta expectativas de mercado sobre la TPM, sin adoptar ni recomendar dirección propia. Diagnóstico y expectativas ajenas sin sesgo direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2009-06-16:2597:1,dovish,dovish,1,alta,el Consejero señor Sebastián Claro vota por bajar la tasa en 50 puntos base y eliminar el sesgo en el comunicado.,"Ratificada tras lectura de la unidad completa: El Consejero vota por bajar la TPM en 50 puntos base y eliminar el sesgo, argumentando justificación para una caída adicional en la tasa de política monetaria y el fin de las bajas de tasas. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2013-08-13:5732:1,neutral,neutral,1,media,lo expresado constituye una sorpresa relevante para efectos de decidir acerca de postergar la decisión de disminuir la tasa rectora.,"Ratificada tras lectura de la unidad completa: El Vicepresidente analiza la corrección de datos del primer trimestre y la revisión de proyecciones, señalando que las nuevas cifras no muestran una clara tendencia a la desaceleración del gasto y que ello es una sorpresa para decidir postergar una baja de la tasa. Análisis sin resolución direccional propia: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-10-09:2120:1,neutral,neutral,1,alta,"su recomendación es la de mantener la tasa, cambiando el sesgo hacia la neutralidad.","Ratificada tras lectura de la unidad completa: El Ministro de Hacienda recomienda mantener la tasa cambiando el sesgo hacia la neutralidad, argumentando alta incertidumbre, ajuste endógeno de tasas y spreads, y conveniencia de dejar abiertas todas las opciones. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2005-08-11:314:1,neutral,hawkish,1,media,Este cuadro macroeconómico es coherente con una progresiva normalización del actual estímulo monetario.,La exposición respalda una progresiva normalización del estímulo monetario vigente como ingrediente central de las proyecciones; es retiro de expansión respaldado.,corregida_v3,cerrado
RPM-2010-11-16:3575:3,hawkish,hawkish,1,media,creemos que lo más adecuado es continuar con un proceso gradual de normalización de la política monetaria para evitar en el futuro ajustes bruscos en la tasa de interés,"Ratificada tras lectura de la unidad completa: El Ministro de Hacienda respalda continuar con un proceso gradual de normalización de la política monetaria para evitar ajustes bruscos futuros, en un contexto de expectativas inflacionarias ancladas en la meta y actividad dinámica. Retiro gradual del estímulo monetario configura dirección hawkish, con confianza media por no explicitar el monto del alza votada.",ratificada_v3,cerrado
RPM-2013-07-11:5682:1,neutral,neutral,1,alta,"los antecedentes antedichos llevan a proponer a título de opciones relevantes en esta ocasión, mantener la Tasa de Política Monetaria en 5% anual o disminuirla en 25 puntos base a 4,75% anual","Ratificada tras lectura de la unidad completa: El Gerente presenta opciones balanceadas entre mantener la TPM en 5% o disminuirla en 25 puntos base, exponiendo argumentos y riesgos de cada alternativa sin resolver por una dirección. Opciones balanceadas sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2007-06-14:1304:1,neutral,neutral,1,alta,"En suma, el Consejero señor Enrique Marshall indica que su voto es por mantener la Tasa de Política Monetaria en 5,0%.","Ratificada tras lectura de la unidad completa: El Consejero vota por mantener la TPM en 5,0%, reconociendo argumentos para más de una opción pero inclinándose por confirmar tendencias antes de ajustar, con inflación moderada y presiones de costo contenidas. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2014-07-15:6338:1,dovish,dovish,1,alta,"su voto es por recortar la TPM en 25 puntos base, para dejarla en 3,75%, y por conservar el tenor del Comunicado de la Reunión anterior.","Ratificada tras lectura de la unidad completa: El Vicepresidente vota por recortar la TPM en 25 puntos base hasta 3,75%, señalando que la economía requiere un nuevo estímulo monetario y manteniendo un sesgo de política a la baja. Acción dovish explícita (bajar tasa con sesgo a la baja) según Codebook v3.",ratificada_v3,cerrado
RPM-2013-12-12:5938:1,neutral,neutral,1,media,"bajo este nuevo escenario, disminuye la presión sobre el Consejo en orden a la necesidad de recortar la TPM","Ratificada tras lectura de la unidad completa: El Consejero señala que la revisión al alza de las proyecciones de inflación por la trayectoria del tipo de cambio reduce la presión para recortar la TPM, sin adoptar ni recomendar una dirección concreta. Diagnóstico sin resolución direccional propia: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2012-07-12:4971:1,neutral,neutral,1,alta,"en un contexto en que la economía interna no refleja aún la desaceleración de otras economías, resulta más prudente mantener la TPM.","Ratificada tras lectura de la unidad completa: El Vicepresidente vota por mantener la TPM en 5%, reconociendo un puzzle de política (información externa sugiere política más expansiva, mientras la interna apunta a posibles presiones inflacionarias) y privilegiando preservar grados de libertad ante riesgos de cola. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2006-07-13:746:2,neutral,neutral,1,alta,se espera que en la reunión del mes de agosto dicha tasa suba 25 puntos base y si no ocurre ese,"Ratificada tras lectura de la unidad completa: La unidad reporta contexto macroeconómico y financiero internacional (precios de commodities, inflación global, expectativas de tasas de política monetaria, tasas largas, volatilidad, paridades y flujos de capitales), sin adoptar ni recomendar dirección para la TPM en Chile. Diagnóstico externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2008-08-14:1994:2,neutral,neutral,1,alta,frente al escenario de menor actividad han disminuido también las expectativas de aumento de Tasa de Política Monetaria.,"Ratificada tras lectura de la unidad completa: La unidad reporta condiciones crediticias, actividad, tendencias inflacionarias y expectativas de tasas de política monetaria en economías desarrolladas, sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-06-10:1856:1,neutral,neutral,1,alta,todo lo anteriormente dicho lleva a corregir el crecimiento de Estados Unidos de América en cinco décimas.,"Ratificada tras lectura de la unidad completa: La unidad reporta contexto macroeconómico internacional (mercado inmobiliario, empleo, confianza, actividad en Europa y Japón, proyecciones de crecimiento e inflación), sin adoptar ni recomendar dirección para la TPM en Chile. Diagnóstico externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2005-10-11:438:1,hawkish,hawkish,1,alta,es difícil justificar una opción distinta de aumentar la TPM en 25 puntos base,"Ratificada tras lectura de la unidad completa: El Gerente concluye que es difícil justificar una opción distinta de aumentar la TPM en 25 puntos base, argumentando aumento gradual de las medidas de tendencia inflacionaria, disminución de holguras y necesidad de prevenir la propagación de shocks. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-07-15:6298:1,neutral,neutral,1,alta,"En materia de política monetaria, destaca el predominio de las mantenciones de las tasas rectoras","Ratificada tras lectura de la unidad completa: La unidad reporta noticias políticas, de mercados financieros y de política monetaria internacional (FMI, Europa, Japón, emergentes, Reserva Federal, Banco de Inglaterra y China), sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2007-07-12:1345:1,hawkish,hawkish,1,alta,"se suma y concuerda con la recomendación efectuada por los demás miembros del staff, en el sentido de subir 25 puntos base la Tasa de Política Monetaria","Ratificada tras lectura de la unidad completa: El Gerente concuerda con subir la TPM en 25 puntos base, descartando mantenerla y descartando 50 puntos base, argumentando reaccionar por el cierre de brechas y manteniendo el sesgo. Acción hawkish explícita (subir tasa y sesgo al alza) según Codebook v3.",ratificada_v3,cerrado
RPM-2015-05-14:6802:1,neutral,neutral,1,alta,"el mensaje central de política monetaria delineado hace algunos meses continúa plenamente vigente, razón por la que, en su opinión, en esta oportunidad solo cabe favorecer la mantención de la TPM en 3% y el tono del último Comunicado","Ratificada tras lectura de la unidad completa: El Consejero favorece mantener la TPM en 3% y el tono del Comunicado, tras analizar inflación, actividad, commodities, tipo de cambio real y mercado laboral, sin proponer dirección de tasa. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2010-03-18:3019:1,neutral,neutral,1,alta,"vota por mantener la tasa en su nivel actual de 0,5%, acogiendo las sugerencias para el comunicado de los puntos 6 y 7 de la Minuta de Opciones","Ratificada tras lectura de la unidad completa: El Vicepresidente vota por mantener la TPM en 0,5%, señalando que el terremoto constituye un shock de oferta con efectos difíciles de evaluar y que la política monetaria está en un punto ciego. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2011-11-15:4439:1,neutral,neutral,1,alta,"los no transables, señala que dada la estrechez del mercado laboral, la dinámica de ajustes de salarios persistirá, razón por la cual es posible esperar que los precios de los componentes no transables sigan aumentando","Ratificada tras lectura de la unidad completa: La unidad es un diagnóstico macro (minería, inflación, transables y no transables, salarios y tipo de cambio) sin adoptar ni recomendar dirección de tasa. Diagnóstico sin conexión resolutiva con orientación de tasa: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2011-08-18:4254:1,neutral,neutral,1,alta,"para esta Reunión, el mercado apunta mayoritariamente por una mantención de la tasa de política monetaria (TPM) y por pausas en los meses venideros","Ratificada tras lectura de la unidad completa: La unidad reporta impacto de turbulencias financieras internacionales en mercados locales, expectativas y proyecciones de inflación, y expectativas de mercado sobre la TPM, sin adoptar ni recomendar dirección propia. Diagnóstico y expectativas ajenas sin sesgo direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2006-10-12:943:1,neutral,neutral,1,alta,"el Consejo estima que, por un tiempo prolongado, podrían no ser necesarios nuevos incrementos en la TPM para mantener la inflación proyectada en torno a 3% anual.","Ratificada tras lectura de la unidad completa: El Acuerdo mantiene la TPM en 5,25% anual y el Comunicado señala que por un tiempo prolongado podrían no ser necesarios nuevos incrementos en la TPM, con inflación en torno a 3% y expectativas ancladas. Mantención sin sesgo direccional propio, con sesgo implícito de pausa en las alzas: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2009-10-13:2724:2,neutral,neutral,1,alta,"la FED ha estado reafirmando, de alguna manera, que mantendría la tasa de política monetaria en los niveles actuales durante un largo período.","Ratificada tras lectura de la unidad completa: La unidad reporta evolución de tasas largas internacionales, licitaciones de bonos y comunicación de la Reserva Federal, sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-12-11:2248:1,neutral,dovish,1,alta,su voto es por mantener la Tasa de Política Monetaria en 8.25% e incorporar un sesgo a la baja con las características antes mencionadas.,"Vota mantener e incorporar explícitamente un sesgo a la baja, anticipando relajamiento monetario; el sesgo futuro respaldado determina D.",corregida_v3,cerrado
RPM-2014-06-12:6292:1,neutral,dovish,1,media,Manifiesta que la TPM se ha recortado en 100 puntos base y ha alcanzado un nivel que es más bien expansivo; las tasas de interés en el mercado monetario han reaccionado en la misma línea y las tasas largas han alcanzado mínimos históricos.,"Vota mantener una TPM que la propia unidad declara expansiva, comparte que podrían requerirse nuevos estímulos y conserva el comunicado; sostiene expansión explícita.",corregida_v3,cerrado
RPM-2011-09-15:4331:1,neutral,neutral,1,alta,su voto es por mantener la TPM y que en la decisión de esta Reunión se debiera considerar un sesgo neutral en torno a la tasa actual.,"Ratificada tras lectura de la unidad completa: El Vicepresidente vota por mantener la TPM con sesgo neutral, señalando que el escenario base del IPoM sigue válido aunque con mayores riesgos externos y posibilidad de presiones inflacionarias internas. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2015-04-16:6713:1,neutral,neutral,1,media,"El Presidente señor Rodrigo Vergara enfatiza la importancia de analizar el tema de Grecia, que está en una situación crítica","Ratificada tras lectura de la unidad completa: El Presidente analiza la situación de Grecia, la caída de exportaciones chinas y la desaceleración de Perú y Colombia, sin adoptar ni recomendar dirección de tasa para Chile. Diagnóstico externo sin conexión resolutiva con orientación de tasa: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-12-11:2176:2,neutral,neutral,1,alta,"los Bancos Centrales de Estados Unidos de América y de Europa, responden con agresivos recortes de tasas de interés","Ratificada tras lectura de la unidad completa: La unidad reporta condiciones financieras internacionales, recesión en economías desarrolladas, condiciones crediticias, recortes de tasas de política monetaria y precios de commodities, sin adoptar ni recomendar dirección para la TPM en Chile. Diagnóstico externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2009-12-15:2806:1,neutral,neutral,1,alta,"el BCE hizo otro cambio, que fue bajar la facilidad de depósito de - 0,50 a -0,75%. Afirma que fue extraordinariamente expansivo","Ratificada tras lectura de la unidad completa: El Gerente reporta medidas expansivas del Banco Central Europeo, sin adoptar ni recomendar dirección para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
